feature,chi2_score
android.permission.WRITE_SYNC_SETTINGS,4782.514228011322
com.android.launcher.permission.INSTALL_SHORTCUT,4479.582879467915
android.permission.READ_LOGS,4238.6626714032955
android.permission.USE_CREDENTIALS,3941.192124218123
android.permission.GET_ACCOUNTS,2414.658880721498
android.permission.READ_PHONE_STATE,1443.7828998114483
android.permission.ACCESS_COARSE_LOCATION,1399.9428770769478
android.permission.ACCESS_WIFI_STATE,715.4228483822523
android.permission.VIBRATE,321.790163907371
android.permission.WRITE_EXTERNAL_STORAGE,258.7486903719781
android.permission.ACCESS_FINE_LOCATION,253.02213900423396
android.permission.BLUETOOTH,251.33140897480462
android.permission.BLUETOOTH_ADMIN,201.92962076756214
android.permission.WAKE_LOCK,186.40693134745612
android.permission.READ_EXTERNAL_STORAGE,108.76826176176719
android.permission.RECORD_AUDIO,106.71575368807753
android.permission.CAMERA,68.8839536838014
android.permission.GET_TASKS,68.54921162577789
android.permission.BROADCAST_STICKY,48.88812982571923
android.permission.READ_USER_DICTIONARY,35.65769860309708
android.permission.FLASHLIGHT,33.39966481856815
android.permission.CHANGE_WIFI_STATE,32.54344798871084
android.permission.READ_CONTACTS,31.24406762887769
com.android.launcher.permission.READ_SETTINGS,22.879003334896403
android.permission.RECEIVE_SMS,16.32942730264123
com.android.browser.permission.READ_HISTORY_BOOKMARKS,16.24326426578407
android.permission.SET_WALLPAPER_HINTS,12.236429396002565
android.permission.MOUNT_UNMOUNT_FILESYSTEMS,7.523444514300774
android.permission.SYSTEM_ALERT_WINDOW,7.064401097846305
android.permission.WRITE_CONTACTS,3.409454783845368
android.permission.MODIFY_AUDIO_SETTINGS,2.523360410935691
android.permission.ACCESS_NETWORK_STATE,2.271806569663216
android.permission.CALL_PHONE,1.172524345253178
android.permission.SET_WALLPAPER,0.6201654221703146
android.permission.RECEIVE_BOOT_COMPLETED,0.31960533335438723
android.permission.WRITE_SETTINGS,0.16892790293800306
