feature,votes
android.permission.WRITE_SYNC_SETTINGS,3
com.android.launcher.permission.INSTALL_SHORTCUT,3
android.permission.READ_LOGS,3
android.permission.USE_CREDENTIALS,3
android.permission.GET_ACCOUNTS,3
android.permission.READ_PHONE_STATE,3
android.permission.ACCESS_COARSE_LOCATION,3
android.permission.ACCESS_WIFI_STATE,3
android.permission.VIBRATE,3
android.permission.WRITE_EXTERNAL_STORAGE,3
android.permission.ACCESS_FINE_LOCATION,3
android.permission.WAKE_LOCK,3
android.permission.BLUETOOTH,2
android.permission.BLUETOOTH_ADMIN,2
android.permission.READ_EXTERNAL_STORAGE,2
android.permission.RECORD_AUDIO,1
android.permission.RECEIVE_SMS,1
android.permission.READ_USER_DICTIONARY,1
android.permission.RECEIVE_BOOT_COMPLETED,1
android.permission.SET_WALLPAPER,1
com.android.launcher.permission.READ_SETTINGS,1
