feature,mi_score
android.permission.WRITE_SYNC_SETTINGS,0.26387853130617334
com.android.launcher.permission.INSTALL_SHORTCUT,0.2533986184254038
android.permission.READ_LOGS,0.23867388140974444
android.permission.USE_CREDENTIALS,0.21727484117748275
android.permission.GET_ACCOUNTS,0.1653497694847179
android.permission.READ_PHONE_STATE,0.11346501873535697
android.permission.ACCESS_COARSE_LOCATION,0.11292636087211849
android.permission.ACCESS_WIFI_STATE,0.08386252104094694
android.permission.WRITE_EXTERNAL_STORAGE,0.047002030464111
android.permission.VIBRATE,0.02807073069405064
android.permission.ACCESS_FINE_LOCATION,0.019526042198784177
android.permission.BLUETOOTH_ADMIN,0.015575870756253885
android.permission.WAKE_LOCK,0.012477021206300565
android.permission.BLUETOOTH,0.011916980177287595
android.permission.RECEIVE_SMS,0.009046501210889568
android.permission.READ_USER_DICTIONARY,0.008446883111799863
android.permission.RECORD_AUDIO,0.006316546136966528
android.permission.CAMERA,0.006176992561071737
android.permission.CHANGE_WIFI_STATE,0.005992332156935509
android.permission.ACCESS_NETWORK_STATE,0.005401306441250808
android.permission.READ_EXTERNAL_STORAGE,0.004862079223285631
android.permission.SET_WALLPAPER_HINTS,0.004789592007681476
android.permission.FLASHLIGHT,0.004295638856216755
android.permission.WRITE_SETTINGS,0.0038210514975645093
android.permission.READ_CONTACTS,0.0035326029699345174
android.permission.WRITE_CONTACTS,0.003396965982149558
android.permission.GET_TASKS,0.003267082705668889
com.android.launcher.permission.READ_SETTINGS,0.0024182685932825354
android.permission.CALL_PHONE,0.0010769318743304446
android.permission.RECEIVE_BOOT_COMPLETED,0.0007227760874626288
android.permission.SYSTEM_ALERT_WINDOW,0.0
com.android.browser.permission.READ_HISTORY_BOOKMARKS,0.0
android.permission.MODIFY_AUDIO_SETTINGS,0.0
android.permission.SET_WALLPAPER,0.0
android.permission.BROADCAST_STICKY,0.0
android.permission.MOUNT_UNMOUNT_FILESYSTEMS,0.0
