feature,importance
android.permission.WRITE_SYNC_SETTINGS,0.246384899186109
com.android.launcher.permission.INSTALL_SHORTCUT,0.16347024904175658
android.permission.READ_LOGS,0.11683559115520728
android.permission.USE_CREDENTIALS,0.07052624385199036
android.permission.GET_ACCOUNTS,0.06043145592363195
android.permission.ACCESS_COARSE_LOCATION,0.04915173562994899
android.permission.READ_PHONE_STATE,0.04716849988001776
android.permission.ACCESS_WIFI_STATE,0.026857347107708474
android.permission.RECEIVE_BOOT_COMPLETED,0.025650060557801863
android.permission.WAKE_LOCK,0.02488751549689516
android.permission.VIBRATE,0.02168592489917915
android.permission.WRITE_EXTERNAL_STORAGE,0.01851539736678103
android.permission.SET_WALLPAPER,0.01567996114338034
android.permission.ACCESS_FINE_LOCATION,0.012527955786982348
com.android.launcher.permission.READ_SETTINGS,0.009083013225174049
android.permission.READ_EXTERNAL_STORAGE,0.008477619026905081
android.permission.RECORD_AUDIO,0.007881913381272268
android.permission.GET_TASKS,0.007423486774727856
android.permission.WRITE_SETTINGS,0.00677320189949392
android.permission.CAMERA,0.006287724678219955
android.permission.SYSTEM_ALERT_WINDOW,0.006152154731998788
android.permission.BLUETOOTH,0.005830544181672987
com.android.browser.permission.READ_HISTORY_BOOKMARKS,0.005815985242257829
android.permission.MODIFY_AUDIO_SETTINGS,0.005361198665405457
android.permission.READ_CONTACTS,0.004996032431238309
android.permission.CHANGE_WIFI_STATE,0.004189885205420075
android.permission.CALL_PHONE,0.003845812731162836
android.permission.ACCESS_NETWORK_STATE,0.0025896809670367814
android.permission.MOUNT_UNMOUNT_FILESYSTEMS,0.0024540522767813695
android.permission.SET_WALLPAPER_HINTS,0.002441386399370378
android.permission.BLUETOOTH_ADMIN,0.0023519238665492058
android.permission.BROADCAST_STICKY,0.002112569739312639
android.permission.RECEIVE_SMS,0.0020365573060407262
android.permission.WRITE_CONTACTS,0.002002029308991801
android.permission.FLASHLIGHT,0.0014699941909225946
android.permission.READ_USER_DICTIONARY,0.000650396742654821
