feature,mi_score
Landroid/content/pm/PackageInstaller;->getAllSessions()Ljava/util/List;,0.2001321497744517
Landroid/os/Parcel;->writeList(Ljava/util/List;)V,0.1922950965882697
Landroid/content/res/Resources;->getColorStateList(I)Landroid/content/res/ColorStateList;,0.18397416137051148
Landroid/widget/ViewSwitcher;-><init>(Landroid/content/Context;)V,0.18239049885164316
Landroid/os/Parcel;->writeTypedList(Ljava/util/List;)V,0.18236491500709096
Landroid/webkit/WebSettings;->getDefaultUserAgent(Landroid/content/Context;)Ljava/lang/String;,0.17743894624271328
Landroid/content/res/Resources;->getXml(I)Landroid/content/res/XmlResourceParser;,0.1727323369295699
Landroid/os/UserManager;->getApplicationRestrictions(Ljava/lang/String;)Landroid/os/Bundle;,0.17150898674750703
Landroid/content/ContentResolver;->openInputStream(Landroid/net/Uri;)Ljava/io/InputStream;,0.1708162892195264
Landroid/view/ViewGroup;->removeView(Landroid/view/View;)V,0.16982502857104875
Landroid/os/AsyncTask;->execute([Ljava/lang/Object;)Landroid/os/AsyncTask;,0.16976774018830776
Landroid/os/Parcel;->readArrayList(Ljava/lang/ClassLoader;)Ljava/util/ArrayList;,0.16651703398396078
Landroid/view/Display;->getRotation()I,0.16138452024165195
Landroid/app/Fragment;->unregisterForContextMenu(Landroid/view/View;)V,0.16108456904082935
Landroid/database/CursorWindow;-><init>(Z)V,0.16098156572514033
Landroid/graphics/drawable/Drawable;->setBounds(Landroid/graphics/Rect;)V,0.16039454589452218
Landroid/os/Parcel;->createTypedArray(Landroid/os/Parcelable$Creator;)[Ljava/lang/Object;,0.15918391228055273
Landroid/webkit/WebView;->onPause()V,0.15885707174917263
Landroid/os/PowerManager;->isScreenOn()Z,0.1565559800101024
Landroid/media/AudioManager;->getMode()I,0.15600750845315314
Landroid/os/PowerManager$WakeLock;->setWorkSource(Landroid/os/WorkSource;)V,0.15507115299028285
Landroid/app/Activity;-><init>()V,0.15199213603299855
Landroid/content/res/Resources;->getInteger(I)I,0.1513427039751276
Landroid/app/AlertDialog$Builder;->setTitle(I)Landroid/app/AlertDialog$Builder;,0.15133023624215847
Landroid/os/PowerManager;->isInteractive()Z,0.14983314434453976
Landroid/content/res/Resources;->getDrawable(I)Landroid/graphics/drawable/Drawable;,0.149411414692471
Landroid/view/ViewGroup;->addView(Landroid/view/View;)V,0.1477927634798093
