feature,importance
Landroid/content/pm/PackageInstaller;->getAllSessions()Ljava/util/List;,0.027848982335758627
Landroid/os/Parcel;->writeList(Ljava/util/List;)V,0.0215216353034352
Landroid/telephony/TelephonyManager;->getSubscriberId()Ljava/lang/String;,0.021407253436407293
Landroid/webkit/WebSettings;->getDefaultUserAgent(Landroid/content/Context;)Ljava/lang/String;,0.020055026568249517
Landroid/content/res/Resources;->getColorStateList(I)Landroid/content/res/ColorStateList;,0.01841084552471309
Landroid/content/res/Resources;->getXml(I)Landroid/content/res/XmlResourceParser;,0.013602294184780482
Landroid/os/UserManager;->getApplicationRestrictions(Ljava/lang/String;)Landroid/os/Bundle;,0.013496244294531945
Landroid/os/AsyncTask;->execute([Ljava/lang/Object;)Landroid/os/AsyncTask;,0.012381663225084953
Landroid/net/wifi/WifiManager;->getScanResults()Ljava/util/List;,0.011843417756562852
Landroid/os/PowerManager;->isScreenOn()Z,0.011749725517822319
Landroid/media/AudioManager;->getMode()I,0.011487929382094895
Landroid/app/Fragment;->unregisterForContextMenu(Landroid/view/View;)V,0.011135118502475111
Landroid/view/ViewGroup;->removeView(Landroid/view/View;)V,0.01103728813795406
Landroid/net/wifi/WifiManager;->isWifiEnabled()Z,0.01055478391908524
Landroid/os/PowerManager$WakeLock;->setWorkSource(Landroid/os/WorkSource;)V,0.010400787734169036
Landroid/widget/ViewSwitcher;-><init>(Landroid/content/Context;)V,0.009999405068214813
Landroid/telephony/TelephonyManager;->getDeviceId()Ljava/lang/String;,0.009959918157538373
Landroid/telephony/TelephonyManager;->getSimSerialNumber()Ljava/lang/String;,0.009632830525563406
Landroid/view/View;->setEnabled(Z)V,0.009399841631470559
Landroid/os/Parcel;->createTypedArray(Landroid/os/Parcelable$Creator;)[Ljava/lang/Object;,0.009111294217347273
Landroid/graphics/drawable/Drawable;->setBounds(Landroid/graphics/Rect;)V,0.009013014200427575
Landroid/telephony/TelephonyManager;->getCellLocation()Landroid/telephony/CellLocation;,0.008595026012962125
Landroid/app/AlertDialog$Builder;->setTitle(I)Landroid/app/AlertDialog$Builder;,0.008586336071165119
Landroid/view/ViewGroup;-><init>(Landroid/content/Context;)V,0.008476001743070621
Landroid/webkit/WebView;->setDownloadListener(Landroid/webkit/DownloadListener;)V,0.008449618072378526
Landroid/webkit/WebView;->onPause()V,0.008018872784184757
Landroid/view/ViewGroup;->addView(Landroid/view/View;)V,0.007969925804751669
Landroid/content/res/Resources;->getInteger(I)I,0.007082189628518249
Landroid/app/Activity;->finish()V,0.0069695880580996185
Landroid/os/PowerManager;->isInteractive()Z,0.006530916842824864
Landroid/support/v4/app/Fragment;->startActivity(Landroid/content/Intent;)V,0.006419028463361957
Landroid/webkit/WebView;->onTouchEvent(Landroid/view/MotionEvent;)Z,0.006381081836812574
Landroid/os/Parcel;->readException()V,0.00629123220047313
Landroid/app/AlertDialog;->setMessage(Ljava/lang/CharSequence;)V,0.006079013253239891
Landroid/database/CursorWindow;-><init>(Z)V,0.005794503656612793
Landroid/graphics/drawable/Drawable;->setLevel(I)Z,0.005764392908420675
Landroid/app/KeyguardManager;->inKeyguardRestrictedInputMode()Z,0.005762362317511898
Landroid/telephony/TelephonyManager;->getSimOperator()Ljava/lang/String;,0.005670526672774253
Landroid/content/res/Resources;->getDrawable(I)Landroid/graphics/drawable/Drawable;,0.005603553330462664
Landroid/view/View;->invalidate()V,0.005592366869371936
Landroid/app/Activity;->finishAffinity()V,0.005512065562012249
Landroid/telephony/TelephonyManager;->getNeighboringCellInfo()Ljava/util/List;,0.005403952613195377
Landroid/os/Parcel;->writeTypedList(Ljava/util/List;)V,0.005298493225824973
Landroid/os/Parcel;->readArrayList(Ljava/lang/ClassLoader;)Ljava/util/ArrayList;,0.005282195862002934
Landroid/webkit/WebView;->removeJavascriptInterface(Ljava/lang/String;)V,0.005227415196519246
Landroid/view/View$BaseSavedState;-><init>(Landroid/os/Parcel;)V,0.005192507613976394
Landroid/app/AlertDialog;->setTitle(Ljava/lang/CharSequence;)V,0.005003743708725921
Landroid/view/Display;->getRotation()I,0.004914812150843005
Landroid/media/AudioManager;->abandonAudioFocus(Landroid/media/AudioManager$OnAudioFocusChangeListener;)I,0.00484863986510232
Landroid/content/res/Resources;->getString(I)Ljava/lang/String;,0.0048442048290354735
Landroid/view/KeyEvent;->getKeyData(Landroid/view/KeyCharacterMap$KeyData;)Z,0.004831966507859288
Landroid/net/wifi/WifiManager;->getConnectionInfo()Landroid/net/wifi/WifiInfo;,0.004608441826725041
Landroid/graphics/drawable/BitmapDrawable;-><init>(Landroid/graphics/Bitmap;)V,0.004234524654507468
Landroid/widget/Toast;->setText(Ljava/lang/CharSequence;)V,0.004125686011665841
Landroid/net/wifi/WifiManager;->startScan()Z,0.004002026629598098
Landroid/view/View;->setDrawingCacheEnabled(Z)V,0.0037513635486687642
Landroid/view/View;->setVisibility(I)V,0.0036945539574134434
Landroid/app/Activity;->setContentView(I)V,0.003684133681042596
Landroid/widget/VideoView;->setVideoPath(Ljava/lang/String;)V,0.0036763810261126774
Landroid/app/Activity;-><init>()V,0.0035851736146998384
Landroid/app/ActivityManager;->getRunningServices(I)Ljava/util/List;,0.0033388539232444307
Landroid/os/Messenger;-><init>(Landroid/os/Handler;)V,0.003309716826984435
Landroid/widget/ImageView;->setImageResource(I)V,0.00317457542108901
Landroid/view/View;->offsetTopAndBottom(I)V,0.0031290646378221436
Landroid/view/ViewGroup;->removeAllViews()V,0.0031167851533126295
Landroid/app/Activity;->startActivity(Landroid/content/Intent;)V,0.003106352028995344
Landroid/database/sqlite/SQLiteDatabase;->setVersion(I)V,0.003064178418735697
Landroid/view/Window;->findViewById(I)Landroid/view/View;,0.003011398657082329
Landroid/graphics/drawable/PaintDrawable;-><init>(I)V,0.0029083234259775852
Landroid/view/View;->sendAccessibilityEvent(I)V,0.002893440005748685
Landroid/widget/TextView;-><init>(Landroid/content/Context;)V,0.002850273539247661
Landroid/graphics/drawable/ShapeDrawable;-><init>(Landroid/graphics/drawable/shapes/Shape;)V,0.00279813038713577
Landroid/view/ViewPropertyAnimator;->cancel()V,0.002713092131978978
Landroid/graphics/drawable/AnimationDrawable;-><init>()V,0.0026235096255909714
Landroid/net/wifi/WifiManager;->getWifiState()I,0.002612815805570059
Landroid/net/ConnectivityManager;->getAllNetworkInfo()[Landroid/net/NetworkInfo;,0.0026105805378420117
Landroid/telephony/PhoneStateListener;-><init>()V,0.0025533021070458673
Landroid/os/Parcel;->writeBundle(Landroid/os/Bundle;)V,0.002545492210840367
Landroid/view/View;->setFitsSystemWindows(Z)V,0.0025217365097723403
Landroid/content/res/Resources;->getColor(I)I,0.0024954942792107544
Landroid/app/Activity;->shouldUpRecreateTask(Landroid/content/Intent;)Z,0.0024875941862178906
Landroid/webkit/WebView;-><init>(Landroid/content/Context;)V,0.002473843394430654
Landroid/view/View;->onTouchEvent(Landroid/view/MotionEvent;)Z,0.0024488195888077683
Landroid/app/ActivityManager;->getRunningTasks(I)Ljava/util/List;,0.0022190379827066076
Landroid/view/View;->setAccessibilityLiveRegion(I)V,0.0022031259008642515
Landroid/content/BroadcastReceiver$PendingResult;->finish()V,0.0020811150367766036
Landroid/widget/TextView;->setText(I)V,0.002057672156319439
Landroid/widget/ImageView;->setImageTintList(Landroid/content/res/ColorStateList;)V,0.0020490070150286422
Landroid/telephony/TelephonyManager;->getNetworkOperatorName()Ljava/lang/String;,0.002036616962793316
Landroid/os/Bundle;->getStringArrayList(Ljava/lang/String;)Ljava/util/ArrayList;,0.0020048546822799933
Landroid/widget/CompoundButton;->setChecked(Z)V,0.001996603121326557
Landroid/app/ActivityManager;->getMyMemoryState(Landroid/app/ActivityManager$RunningAppProcessInfo;)V,0.001985311726747734
Landroid/view/View;->dispatchStartTemporaryDetach()V,0.0019510364649313596
Landroid/widget/TextView;->setTextSize(F)V,0.0019462995351394385
Landroid/app/job/JobService;-><init>()V,0.0019325644514809018
Landroid/util/LruCache;->get(Ljava/lang/Object;)Ljava/lang/Object;,0.001893061488015266
Landroid/app/ActivityManager;->getRunningAppProcesses()Ljava/util/List;,0.0018913352048368953
Landroid/webkit/WebView;->setWebChromeClient(Landroid/webkit/WebChromeClient;)V,0.0018733437892470034
Landroid/graphics/drawable/Drawable$ConstantState;->newDrawable(Landroid/content/res/Resources;)Landroid/graphics/drawable/Drawable;,0.0018447452719247694
Landroid/content/ContentProviderClient;->release()Z,0.0017989642061992572
Landroid/telephony/TelephonyManager;->getSimState()I,0.0017953586315817192
Landroid/view/View;->dispatchTouchEvent(Landroid/view/MotionEvent;)Z,0.0017798472967998653
Landroid/app/Activity;->onConfigurationChanged(Landroid/content/res/Configuration;)V,0.0017476291915433017
Landroid/telephony/TelephonyManager;->getNetworkType()I,0.001719648424481012
Landroid/widget/TextView;->setIncludeFontPadding(Z)V,0.0016758520405660627
Landroid/app/PendingIntent;->send(I)V,0.0016577945179677373
Landroid/content/ContentResolver;->getType(Landroid/net/Uri;)Ljava/lang/String;,0.001644375279693491
Landroid/location/LocationManager;->removeGpsStatusListener(Landroid/location/GpsStatus$Listener;)V,0.0016371703852758276
Landroid/view/View;->dispatchKeyShortcutEvent(Landroid/view/KeyEvent;)Z,0.001632796359899946
Landroid/database/sqlite/SQLiteDatabase;->execSQL(Ljava/lang/String;)V,0.0016022486189176627
Landroid/view/animation/Animation;->cancel()V,0.001580645252939121
Landroid/widget/ProgressBar;->setIndeterminate(Z)V,0.001514800104890556
Landroid/widget/FrameLayout;-><init>(Landroid/content/Context;)V,0.0015033556391834512
Landroid/text/format/Time;->format(Ljava/lang/String;)Ljava/lang/String;,0.0014970010987763443
Landroid/app/AlertDialog$Builder;-><init>(Landroid/content/Context;)V,0.0014945031827876907
Landroid/os/Environment;->getExternalStorageState()Ljava/lang/String;,0.001489526277815576
Landroid/telephony/TelephonyManager;->getLine1Number()Ljava/lang/String;,0.0014877411458952597
Landroid/graphics/drawable/BitmapDrawable;-><init>()V,0.0014811657918003501
Landroid/app/AlertDialog$Builder;->show()Landroid/app/AlertDialog;,0.0014755494969794806
Landroid/app/Activity;->findViewById(I)Landroid/view/View;,0.001464748991527931
Landroid/view/View;->jumpDrawablesToCurrentState()V,0.0014555646862490915
Landroid/content/Context;->obtainStyledAttributes([I)Landroid/content/res/TypedArray;,0.0014527826893207764
Landroid/app/Activity;->requestWindowFeature(I)Z,0.0014521670550352265
Landroid/view/Window;->setAttributes(Landroid/view/WindowManager$LayoutParams;)V,0.0014492012436134061
Landroid/view/View;->dispatchApplyWindowInsets(Landroid/view/WindowInsets;)Landroid/view/WindowInsets;,0.001448681064947585
Landroid/view/View;->requestFocus()Z,0.001436903965904234
Landroid/media/MediaPlayer;-><init>()V,0.0013964608400449869
Landroid/content/ContentResolver;->openInputStream(Landroid/net/Uri;)Ljava/io/InputStream;,0.001393252245742292
Landroid/widget/ProgressBar;->setProgress(I)V,0.0013903693522925981
Landroid/os/Looper;->loop()V,0.001362887204151776
Landroid/widget/Toast;->show()V,0.001360256007051177
Landroid/content/ContextWrapper;->getExternalCacheDir()Ljava/io/File;,0.001353484452425967
Landroid/view/KeyCharacterMap;->load(I)Landroid/view/KeyCharacterMap;,0.0013377416423303859
Landroid/content/res/Resources;->getText(I)Ljava/lang/CharSequence;,0.0012786619395184682
Landroid/view/Display;->getMetrics(Landroid/util/DisplayMetrics;)V,0.0012768799238123925
Landroid/app/IntentService;-><init>(Ljava/lang/String;)V,0.0012718702955599708
Landroid/webkit/WebView;->clearHistory()V,0.0012662082075572114
Landroid/support/v7/widget/ActionMenuPresenter;-><init>(Landroid/content/Context;)V,0.001266096537501698
