feature,chi2_score
Landroid/content/pm/PackageInstaller;->getAllSessions()Ljava/util/List;,2454.2101291333015
Landroid/widget/ViewSwitcher;-><init>(Landroid/content/Context;)V,2177.413682166803
Landroid/os/UserManager;->getApplicationRestrictions(Ljava/lang/String;)Landroid/os/Bundle;,2133.6890033319223
Landroid/os/PowerManager$WakeLock;->setWorkSource(Landroid/os/WorkSource;)V,2119.6762315449246
Landroid/webkit/WebSettings;->getDefaultUserAgent(Landroid/content/Context;)Ljava/lang/String;,2116.427490114045
Landroid/app/Fragment;->unregisterForContextMenu(Landroid/view/View;)V,2073.940887731268
Landroid/database/CursorWindow;-><init>(Z)V,2024.8306726937078
Landroid/os/PowerManager;->isInteractive()Z,1958.6508110698883
Landroid/media/AudioManager;->getMode()I,1934.2671682203268
Landroid/view/Display;->getRotation()I,1809.406217365512
Landroid/webkit/WebView;->onPause()V,1738.3711335791672
Landroid/app/AlertDialog;->setTitle(Ljava/lang/CharSequence;)V,1647.8870593867623
Landroid/webkit/WebView;->onTouchEvent(Landroid/view/MotionEvent;)Z,1641.7130973419823
Landroid/os/Parcel;->writeList(Ljava/util/List;)V,1614.7422222772088
Landroid/content/res/Resources;->getXml(I)Landroid/content/res/XmlResourceParser;,1584.2130931527847
Landroid/app/AlertDialog;->setMessage(Ljava/lang/CharSequence;)V,1575.1650643337807
Landroid/app/Activity;->setContentView(I)V,1537.9378789079078
Landroid/os/Parcel;->readArrayList(Ljava/lang/ClassLoader;)Ljava/util/ArrayList;,1537.479088928188
Landroid/os/PowerManager;->isScreenOn()Z,1519.0507860926332
Landroid/app/AlertDialog$Builder;->setTitle(I)Landroid/app/AlertDialog$Builder;,1484.9367642852587
Landroid/content/res/Resources;->getColorStateList(I)Landroid/content/res/ColorStateList;,1467.0315585786807
Landroid/os/Parcel;->writeTypedList(Ljava/util/List;)V,1446.1958666161258
Landroid/view/View;->getWindowId()Landroid/view/WindowId;,1439.3737438337507
Landroid/app/KeyguardManager;->inKeyguardRestrictedInputMode()Z,1416.431244669762
Landroid/util/LruCache;->get(Ljava/lang/Object;)Ljava/lang/Object;,1392.2435420678707
Landroid/os/AsyncTask;->execute([Ljava/lang/Object;)Landroid/os/AsyncTask;,1370.0094022185265
Landroid/view/KeyEvent;->getKeyData(Landroid/view/KeyCharacterMap$KeyData;)Z,1362.9110516734856
Landroid/telephony/TelephonyManager;->getSubscriberId()Ljava/lang/String;,1355.9284743902922
Landroid/widget/CheckedTextView;->setCheckMarkDrawable(I)V,1307.859752073483
Landroid/view/View;->jumpDrawablesToCurrentState()V,1301.227293147649
Landroid/view/KeyCharacterMap;->load(I)Landroid/view/KeyCharacterMap;,1292.9248622024074
