feature,votes
Landroid/content/pm/PackageInstaller;->getAllSessions()Ljava/util/List;,3
Landroid/widget/ViewSwitcher;-><init>(Landroid/content/Context;)V,3
Landroid/os/UserManager;->getApplicationRestrictions(Ljava/lang/String;)Landroid/os/Bundle;,3
Landroid/os/PowerManager$WakeLock;->setWorkSource(Landroid/os/WorkSource;)V,3
Landroid/webkit/WebSettings;->getDefaultUserAgent(Landroid/content/Context;)Ljava/lang/String;,3
Landroid/app/Fragment;->unregisterForContextMenu(Landroid/view/View;)V,3
Landroid/database/CursorWindow;-><init>(Z)V,3
Landroid/os/PowerManager;->isInteractive()Z,3
Landroid/media/AudioManager;->getMode()I,3
Landroid/view/Display;->getRotation()I,3
Landroid/webkit/WebView;->onPause()V,3
Landroid/app/AlertDialog;->setTitle(Ljava/lang/CharSequence;)V,3
Landroid/webkit/WebView;->onTouchEvent(Landroid/view/MotionEvent;)Z,3
Landroid/os/Parcel;->writeList(Ljava/util/List;)V,3
Landroid/content/res/Resources;->getXml(I)Landroid/content/res/XmlResourceParser;,3
Landroid/app/AlertDialog;->setMessage(Ljava/lang/CharSequence;)V,3
Landroid/app/Activity;->setContentView(I)V,3
Landroid/os/Parcel;->readArrayList(Ljava/lang/ClassLoader;)Ljava/util/ArrayList;,3
Landroid/os/PowerManager;->isScreenOn()Z,3
Landroid/app/AlertDialog$Builder;->setTitle(I)Landroid/app/AlertDialog$Builder;,3
Landroid/content/res/Resources;->getColorStateList(I)Landroid/content/res/ColorStateList;,3
Landroid/os/Parcel;->writeTypedList(Ljava/util/List;)V,3
Landroid/app/KeyguardManager;->inKeyguardRestrictedInputMode()Z,3
Landroid/view/KeyEvent;->getKeyData(Landroid/view/KeyCharacterMap$KeyData;)Z,3
Landroid/os/AsyncTask;->execute([Ljava/lang/Object;)Landroid/os/AsyncTask;,3
Landroid/view/View;->setEnabled(Z)V,3
Landroid/view/View;->jumpDrawablesToCurrentState()V,3
Landroid/content/res/Resources;->getInteger(I)I,3
Landroid/view/View;->getPaddingLeft()I,3
Landroid/widget/CompoundButton;->setChecked(Z)V,3
Landroid/graphics/drawable/Drawable;->setLevel(I)Z,3
Landroid/widget/BaseAdapter;->notifyDataSetChanged()V,3
Landroid/content/Context;->obtainStyledAttributes([I)Landroid/content/res/TypedArray;,3
Landroid/view/ViewGroup;->removeAllViews()V,3
Landroid/os/Messenger;-><init>(Landroid/os/Handler;)V,3
Landroid/content/ContentResolver;->openInputStream(Landroid/net/Uri;)Ljava/io/InputStream;,3
Landroid/widget/TextView;->setTypeface(Landroid/graphics/Typeface;)V,3
Landroid/os/ParcelFileDescriptor;->close()V,3
Landroid/view/View;->setActivated(Z)V,2
Landroid/view/ViewGroup;->removeViewAt(I)V,2
Landroid/widget/FrameLayout;->setForeground(Landroid/graphics/drawable/Drawable;)V,2
Landroid/app/Activity;->finishAffinity()V,2
Landroid/view/View;->setSaveFromParentEnabled(Z)V,2
Landroid/graphics/drawable/Drawable$ConstantState;->newDrawable(Landroid/content/res/Resources;)Landroid/graphics/drawable/Drawable;,2
Landroid/graphics/drawable/Drawable;->setBounds(Landroid/graphics/Rect;)V,2
Landroid/os/Parcel;->createTypedArray(Landroid/os/Parcelable$Creator;)[Ljava/lang/Object;,2
Landroid/content/res/Resources;->getDrawable(I)Landroid/graphics/drawable/Drawable;,2
Landroid/view/View;->setVisibility(I)V,2
Landroid/media/AudioManager;->getStreamVolume(I)I,2
Landroid/media/AudioManager;->abandonAudioFocus(Landroid/media/AudioManager$OnAudioFocusChangeListener;)I,2
Landroid/view/View;->getPaddingStart()I,2
Landroid/content/ContextWrapper;->getExternalCacheDir()Ljava/io/File;,2
Landroid/media/AudioManager;->playSoundEffect(I)V,2
Landroid/app/Activity;->setContentView(Landroid/view/View;)V,2
Landroid/view/ViewPropertyAnimator;->cancel()V,2
Landroid/graphics/drawable/AnimationDrawable;-><init>()V,2
Landroid/app/DownloadManager;->enqueue(Landroid/app/DownloadManager$Request;)J,2
Landroid/view/Window;->findViewById(I)Landroid/view/View;,2
Landroid/telephony/TelephonyManager;->getSubscriberId()Ljava/lang/String;,2
Landroid/content/res/Resources;->getString(I)Ljava/lang/String;,2
Landroid/app/Activity;-><init>()V,2
Landroid/view/View;->invalidate()V,2
Landroid/widget/FrameLayout;-><init>(Landroid/content/Context;)V,2
Landroid/widget/ImageView;->setImageDrawable(Landroid/graphics/drawable/Drawable;)V,2
Landroid/widget/ImageView;->setImageResource(I)V,2
Landroid/view/View;->offsetTopAndBottom(I)V,2
Landroid/view/ViewConfiguration;->get(Landroid/content/Context;)Landroid/view/ViewConfiguration;,2
Landroid/view/ViewGroup;->addView(Landroid/view/View;)V,2
Landroid/view/ViewGroup;->removeView(Landroid/view/View;)V,2
Landroid/os/Bundle;->getStringArrayList(Ljava/lang/String;)Ljava/util/ArrayList;,2
Landroid/view/View;->setOnClickListener(Landroid/view/View$OnClickListener;)V,2
Landroid/content/res/Resources;->getText(I)Ljava/lang/CharSequence;,2
Landroid/content/Intent;->resolveActivity(Landroid/content/pm/PackageManager;)Landroid/content/ComponentName;,2
Landroid/view/View;->getPaddingRight()I,2
Landroid/view/View;->setAlpha(F)V,2
Landroid/content/res/Resources;->getBoolean(I)Z,1
Landroid/widget/AutoCompleteTextView;->setDropDownBackgroundResource(I)V,1
Landroid/content/res/TypedArray;->getTextArray(I)[Ljava/lang/CharSequence;,1
Landroid/view/View;->dispatchApplyWindowInsets(Landroid/view/WindowInsets;)Landroid/view/WindowInsets;,1
Landroid/widget/ProgressBar;->setIndeterminate(Z)V,1
Landroid/accounts/AccountManager;->get(Landroid/content/Context;)Landroid/accounts/AccountManager;,1
Landroid/view/TextureView;-><init>(Landroid/content/Context;)V,1
Landroid/os/Parcel;->writeMap(Ljava/util/Map;)V,1
Landroid/widget/CheckedTextView;->setCheckMarkDrawable(I)V,1
Landroid/support/v7/widget/SearchView;->setIconified(Z)V,1
Landroid/support/v7/app/ActionBarActivity;-><init>()V,1
Landroid/view/KeyCharacterMap;->load(I)Landroid/view/KeyCharacterMap;,1
Landroid/view/View;->getWindowId()Landroid/view/WindowId;,1
Landroid/util/LruCache;->get(Ljava/lang/Object;)Ljava/lang/Object;,1
Landroid/view/ViewPropertyAnimator;->scaleY(F)Landroid/view/ViewPropertyAnimator;,1
Landroid/text/SpannableStringBuilder;->append(Ljava/lang/CharSequence;)Landroid/text/SpannableStringBuilder;,1
Landroid/content/res/TypedArray;->peekValue(I)Landroid/util/TypedValue;,1
