feature,importance
Landroid/telephony/TelephonyManager;->getSubscriberId()Ljava/lang/String;,0.03133497086705088
Landroid/content/pm/PackageInstaller;->getAllSessions()Ljava/util/List;,0.024329929313955258
Landroid/webkit/WebSettings;->getDefaultUserAgent(Landroid/content/Context;)Ljava/lang/String;,0.02330588566667578
Landroid/content/ContentResolver;->openInputStream(Landroid/net/Uri;)Ljava/io/InputStream;,0.017288624435008948
Landroid/os/PowerManager$WakeLock;->setWorkSource(Landroid/os/WorkSource;)V,0.016222952384534636
Landroid/os/PowerManager;->isScreenOn()Z,0.01381291387108322
Landroid/content/res/Resources;->getColorStateList(I)Landroid/content/res/ColorStateList;,0.013763248252330607
Landroid/os/Parcel;->writeTypedList(Ljava/util/List;)V,0.013536084502220696
Landroid/os/PowerManager;->isInteractive()Z,0.013288704923029446
Landroid/net/wifi/WifiManager;->getScanResults()Ljava/util/List;,0.013154134674915946
Landroid/os/UserManager;->getApplicationRestrictions(Ljava/lang/String;)Landroid/os/Bundle;,0.013100724207040615
Landroid/net/wifi/WifiManager;->isWifiEnabled()Z,0.01262182038356296
Landroid/widget/ViewSwitcher;-><init>(Landroid/content/Context;)V,0.012037165467618315
Landroid/view/View;->getPaddingLeft()I,0.011301636466738742
Landroid/view/View;->setEnabled(Z)V,0.01063588392003506
Landroid/view/View;->setVisibility(I)V,0.0103231414029669
Landroid/content/res/Resources;->getXml(I)Landroid/content/res/XmlResourceParser;,0.01010958130565679
Landroid/media/AudioManager;->getMode()I,0.010028366644530804
Landroid/view/Display;->getRotation()I,0.00989207034208474
Landroid/app/Fragment;->unregisterForContextMenu(Landroid/view/View;)V,0.009738778076105452
Landroid/telephony/TelephonyManager;->getSimSerialNumber()Ljava/lang/String;,0.009581960393748652
Landroid/graphics/drawable/Drawable;->setLevel(I)Z,0.008546887327997969
Landroid/view/ViewConfiguration;->get(Landroid/content/Context;)Landroid/view/ViewConfiguration;,0.008117337214123855
Landroid/view/View;->setOnClickListener(Landroid/view/View$OnClickListener;)V,0.00806413109775128
Landroid/app/KeyguardManager;->inKeyguardRestrictedInputMode()Z,0.007895582905685327
Landroid/os/Parcel;->readArrayList(Ljava/lang/ClassLoader;)Ljava/util/ArrayList;,0.007845655990097285
Landroid/telephony/TelephonyManager;->getCellLocation()Landroid/telephony/CellLocation;,0.0076572577691822906
Landroid/os/Parcel;->createTypedArray(Landroid/os/Parcelable$Creator;)[Ljava/lang/Object;,0.007401247496750061
