feature,chi2_score
permission :: MOUNT_UNMOUNT_FILESYSTEMS,3038.256996588513
permission :: CHANGE_WIFI_STATE,2181.367681664302
permission :: GET_TASKS,2172.149186703565
permission :: SYSTEM_ALERT_WINDOW,1947.1658612554352
permission :: WRITE_SETTINGS,1873.422366781483
permission :: CHANGE_NETWORK_STATE,1755.93675716732
permission :: RECEIVE,1669.0712124308734
permission :: C2D_MESSAGE,1657.7078164646505
permission :: READ_LOGS,1597.6690534159686
permission :: READ_PHONE_STATE,1419.7416636182168
receiver :: AppMeasurementReceiver,1334.9116521410776
permission :: RECEIVE_USER_PRESENT,1207.3117162967858
permission :: ACCESS_LOCATION_EXTRA_COMMANDS,1070.893717521833
permission :: RESTART_PACKAGES,926.787588177426
permission :: INSTALL_SHORTCUT,922.4820798881819
permission :: SEND_SMS,916.7713670704968
permission :: READ_SETTINGS,900.1395481174989
permission :: ACCESS_WIFI_STATE,831.4914606805805
permission :: JPUSH_MESSAGE,831.0780640708165
receiver :: service.PushReceiver,790.3875034867503
service :: DownloadService,787.3124938993926
service :: CampaignTrackingService,767.7535645657051
permission :: CHANGE_CONFIGURATION,760.9585038292397
permission :: ACCESS_COARSE_LOCATION,756.6139251107536
service :: f,705.7400303877196
receiver :: GcmBroadcastReceiver,701.7240969524141
permission :: RECORD_AUDIO,640.4142361992767
permission :: REQUEST_INSTALL_PACKAGES,610.0961414270589
receiver :: CampaignTrackingReceiver,598.1780525626496
receiver :: FirebaseInstanceIdInternalReceiver,588.2355762252638
permission :: CALL_PHONE,587.5832144364824
permission :: UNINSTALL_SHORTCUT,585.8342167954742
permission :: READ_EXTERNAL_STORAGE,576.2554598109706
permission :: DISABLE_KEYGUARD,563.9647077886609
permission :: READ_SMS,517.6970713244978
permission :: READ_GSERVICES,513.9875202613737
receiver :: FirebaseInstanceIdReceiver,510.91457951442214
permission :: KILL_BACKGROUND_PROCESSES,508.8055905140968
receiver :: GcmReceiver,490.643217499607
permission :: FLASHLIGHT,477.73870142500016
receiver :: AnalyticsReceiver,474.9575603916056
permission :: ACCESS_FINE_LOCATION,462.6197671367853
permission :: CAMERA,460.57126229776486
service :: DownloadingService,453.2730272333554
permission :: DOWNLOAD_WITHOUT_NOTIFICATION,437.07202835411
permission :: RECEIVE_SMS,435.7152017580409
service :: AnalyticsService,435.2567527171333
permission :: BLUETOOTH,403.5125281902418
permission :: BROADCAST_STICKY,393.85863198108075
permission :: MODIFY_AUDIO_SETTINGS,390.96309220536125
service :: MessageHandleService,387.79085936271906
permission :: WRITE_SMS,378.6993704734426
permission :: MIPUSH_RECEIVE,364.05733908251926
permission :: ACCESS_DOWNLOAD_MANAGER,363.12819970978967
receiver :: MyReceiver,354.8501199597856
service :: PushMessageHandler,353.97425157768623
receiver :: DownloadReceiver,342.4437364520845
service :: RevocationBoundService,333.1882354150299
permission :: BLUETOOTH_ADMIN,324.7412270879644
receiver :: NotificationProxyBroadcastReceiver,322.4816775639756
receiver :: PushReceiver,318.9282046383123
permission :: INTERACT_ACROSS_USERS_FULL,317.05852326398724
receiver :: RegistrationReceiver,300.5621295823031
service :: APSService,297.0311334460497
permission :: WRITE_APN_SETTINGS,292.2217927675937
receiver :: service.receivers.PingReceiver,282.99666759646675
receiver :: MultipleInstallBroadcastReceiver,281.539087197815
permission :: BROADCAST_PACKAGE_REPLACED,280.48943854815116
permission :: GET_PACKAGE_SIZE,272.9978457721379
service :: UmengMessageIntentReceiverService,265.5000029056253
permission :: ACCESS_COARSE_UPDATES,258.43810546948623
permission :: MANAGE_ACCOUNTS,252.39409425613934
service :: GCMIntentService,248.4404289054416
permission :: REORDER_TASKS,245.46921054526808
receiver :: CommonReceiver,229.35596290346686
permission :: MAPS_RECEIVE,229.14822404788816
service :: XMJobService,225.05833333333328
permission :: BATTERY_STATS,217.31780089649152
permission :: RECEIVE_BOOT_COMPLETED,215.95230583715357
service :: FirebaseMessagingService,214.94654214884335
receiver :: AppRegister,214.48803376954805
permission :: RUN_INSTRUMENTATION,213.11834870382455
permission :: INSTALL_PACKAGES,207.39583914458393
permission :: VIBRATE,205.6792773557071
permission :: SET_DEBUG_APP,191.1374393330983
receiver :: SystemReceiver,189.0573964097719
receiver :: InstallReferrerReceiver,184.67496813831576
receiver :: MessageReceiver,184.41913200426615
permission :: SYSTEM_OVERLAY_WINDOW,180.86752969152008
permission :: ACCESS_MTK_MMHW,178.2541666666667
permission :: PROCESS_OUTGOING_CALLS,176.16524230613442
service :: Stub02,171.28333333333336
permission :: EXPAND_STATUS_BAR,168.41061331462856
receiver :: PushManagerReceiver,167.25096591925043
receiver :: AgooCommondReceiver,166.53663290024224
service :: QhJobService,165.30833333333334
receiver :: service.PayloadReceiver,161.34076315723144
service :: DefaultTinkerResultService,159.51763657114594
service :: UmengService,158.66988254632398
service :: MyInstanceIDListenerService,157.77061028697008
receiver :: JPushReceiver,157.35802479897376
service :: TinkerResultService,152.44521264845764
service :: FirebaseCrashReceiverService,151.2576939248503
receiver :: AppMeasurementInstallReferrerReceiver,149.76043333128231
permission :: PLUGIN,147.40131590416942
permission :: ACCESS_CACHE_FILESYSTEM,147.38333333333333
permission :: WRITE_EXTERNAL_STORAGE,144.82405618723914
receiver :: Stub03,144.39583333333331
permission :: BAIDU_LOCATION_SERVICE,142.61142574346513
receiver :: PushEventReceiver,142.42304433628402
permission :: DELETE_PACKAGES,141.98395330767772
receiver :: XGPushReceiver,141.40833333333333
permission :: ACCESS_MOCK_LOCATION,139.69780159807445
permission :: WRITE_SECURE_SETTINGS,132.5446436761029
service :: XiaomiIntentService,132.46669720754562
service :: UpdateService,131.95805899239332
permission :: CHANGE_WIFI_MULTICAST_STATE,131.2862106603602
service :: MyGcmListenerService,130.58215213160142
permission :: RECEIVE_MMS,129.8942083853287
receiver :: CheckUpdateReceiver,128.46250000000003
permission :: PACKAGE_USAGE_STATS,126.50986608032335
service :: TinkerPatchService$InnerService,124.71694153457733
service :: ContactsUploadService,124.65677750306412
service :: XGRemoteService,123.50625013620119
receiver :: GCMBroadcastReceiver,122.89321311356798
receiver :: InstallReceiver,119.46172282970059
permission :: UPDATE_APP_OPS_STATS,119.42705761584243
permission :: SEND_DOWNLOAD_COMPLETED_INTENTS,119.14450072869165
permission :: CLEAR_APP_CACHE,117.91409936644646
receiver :: PushServiceReceiver,116.29908173300433
receiver :: ElectionReceiver,114.63424853443095
service :: PushServiceUser,111.00810587091887
receiver :: ParseBroadcastReceiver,111.00166257111863
permission :: CHANGE_BADGE,109.4035713651183
receiver :: AdjustReferrerReceiver,108.36554080003236
receiver :: ReferrerReceiver,106.9251943750113
permission :: WRITE_MEDIA_STORAGE,103.20626163725055
permission :: GET_ACCOUNTS,99.08995658061397
service :: CommandService,97.48380921018648
permission :: RECEIVE_ADM_MESSAGE,91.57689646530682
receiver :: ResponseReceiver,89.49222320566462
service :: AdService,89.27309314987662
permission :: DEVICE_POWER,87.46073615911712
permission :: READ_CONTACTS,85.74103347219193
service :: LocationService,78.54343673727335
permission :: RECEIVE_WAP_PUSH,77.0088263140213
service :: NetworkService,72.96770115288524
permission :: MODIFY_PHONE_STATE,70.0156200817627
service :: TagManagerService,70.00429527216866
permission :: READ_CALL_LOG,65.17422680135331
permission :: ACCESS_GPS,59.691876598093906
permission :: RECORD_VIDEO,58.03693800514568
permission :: READ_OWNER_DATA,56.55328204436046
service :: ReconnectionService,56.54977348487097
receiver :: SmsReceiver,55.115512661832675
permission :: WRITE_CONTACTS,53.749778152835155
permission :: USE_CREDENTIALS,47.70439603016962
permission :: READ_INTERNAL_STORAGE,47.1112470013947
permission :: READ_USER_DICTIONARY,44.41040192489131
receiver :: NetworkReceiver,42.78792036158121
permission :: READ_APP_BADGE,37.68349895397489
service :: MyService,36.207192650323144
permission :: SET_WALLPAPER,34.640267472999014
permission :: READ_HISTORY_BOOKMARKS,34.26832112156051
permission :: NFC,31.57035153807773
receiver :: BootCompletedReceiver,30.817939449140873
permission :: BIND_ACCESSIBILITY_SERVICE,29.493364052806236
permission :: WRITE_CALL_LOG,25.620555504853368
receiver :: BillingReceiver,23.293338255804407
permission :: WRITE_CALENDAR,19.691337366869533
permission :: PROVIDER_INSERT_BADGE,19.026019558320876
permission :: READ_PROFILE,18.65250799221993
service :: SyncService,16.49744322584281
permission :: WRITE,14.001136120697545
permission :: WRITE_INTERNAL_STORAGE,11.92677833443442
permission :: READ_CALENDAR,10.17766349410702
permission :: SET_ALARM,10.122909102435539
permission :: UPDATE_COUNT,9.767383853380604
permission :: USE_FINGERPRINT,8.733840832150603
permission :: WRITE_HISTORY_BOOKMARKS,6.983056173773705
permission :: BROADCAST_BADGE,5.991969929928921
receiver :: NotificationReceiver,5.985522950009693
permission :: AUTHENTICATE_ACCOUNTS,5.9225696850014335
permission :: ACTIVITY_RECOGNITION,5.058513392697494
permission :: SET_WALLPAPER_HINTS,4.438812512452681
receiver :: AlarmReceiver,2.8895708705948113
service :: AuthenticatorService,2.7508397257089703
receiver :: BootReceiver,1.5466800059941441
permission :: READ_SYNC_STATS,1.454673580108507
receiver :: NetworkChangeReceiver,1.4449140523395054
permission :: WAKE_LOCK,0.922118595828712
permission :: ACCESS_NETWORK_STATE,0.49528297923154063
service :: AppMeasurementJobService,0.3453907023539555
permission :: WRITE_USE_APP_FEATURE_SURVEY,0.0018927030164954026
permission :: READ_SYNC_SETTINGS,0.0014867516594836206
permission :: INTERNET,0.00020148049121832112
permission :: WRITE_SYNC_SETTINGS,3.28769093650105e-05
