feature,votes
permission :: MOUNT_UNMOUNT_FILESYSTEMS,3
permission :: CHANGE_WIFI_STATE,3
permission :: GET_TASKS,3
permission :: SYSTEM_ALERT_WINDOW,3
permission :: WRITE_SETTINGS,3
permission :: CHANGE_NETWORK_STATE,3
permission :: RECEIVE,3
permission :: C2D_MESSAGE,3
permission :: READ_LOGS,3
permission :: READ_PHONE_STATE,3
receiver :: AppMeasurementReceiver,3
permission :: RECEIVE_USER_PRESENT,3
permission :: ACCESS_LOCATION_EXTRA_COMMANDS,3
permission :: RESTART_PACKAGES,3
permission :: INSTALL_SHORTCUT,3
permission :: SEND_SMS,3
permission :: READ_SETTINGS,3
permission :: ACCESS_WIFI_STATE,3
permission :: JPUSH_MESSAGE,3
receiver :: service.PushReceiver,3
service :: DownloadService,3
service :: CampaignTrackingService,3
permission :: CHANGE_CONFIGURATION,3
permission :: ACCESS_COARSE_LOCATION,3
service :: f,3
receiver :: GcmBroadcastReceiver,3
permission :: RECORD_AUDIO,3
permission :: REQUEST_INSTALL_PACKAGES,3
receiver :: CampaignTrackingReceiver,3
receiver :: FirebaseInstanceIdInternalReceiver,3
permission :: CALL_PHONE,3
permission :: UNINSTALL_SHORTCUT,3
permission :: READ_EXTERNAL_STORAGE,3
permission :: DISABLE_KEYGUARD,3
permission :: READ_SMS,3
permission :: READ_GSERVICES,3
receiver :: FirebaseInstanceIdReceiver,3
permission :: KILL_BACKGROUND_PROCESSES,3
receiver :: GcmReceiver,3
permission :: FLASHLIGHT,3
receiver :: AnalyticsReceiver,3
permission :: ACCESS_FINE_LOCATION,3
permission :: CAMERA,3
service :: DownloadingService,3
permission :: DOWNLOAD_WITHOUT_NOTIFICATION,3
permission :: RECEIVE_SMS,3
service :: AnalyticsService,3
permission :: BLUETOOTH,3
permission :: BROADCAST_STICKY,3
permission :: MODIFY_AUDIO_SETTINGS,3
service :: MessageHandleService,3
permission :: WRITE_SMS,3
receiver :: DownloadReceiver,3
receiver :: MyReceiver,3
permission :: BLUETOOTH_ADMIN,3
service :: GCMIntentService,3
permission :: MANAGE_ACCOUNTS,3
receiver :: MultipleInstallBroadcastReceiver,3
receiver :: CommonReceiver,3
permission :: MAPS_RECEIVE,3
permission :: RECEIVE_BOOT_COMPLETED,3
permission :: VIBRATE,3
service :: RevocationBoundService,2
permission :: ACCESS_DOWNLOAD_MANAGER,2
service :: PushMessageHandler,2
receiver :: NotificationProxyBroadcastReceiver,2
receiver :: service.receivers.PingReceiver,2
permission :: WRITE_APN_SETTINGS,2
service :: APSService,2
receiver :: RegistrationReceiver,2
permission :: INTERACT_ACROSS_USERS_FULL,2
receiver :: PushReceiver,2
service :: UmengMessageIntentReceiverService,2
permission :: BROADCAST_PACKAGE_REPLACED,2
permission :: REORDER_TASKS,2
permission :: ACCESS_COARSE_UPDATES,2
permission :: GET_PACKAGE_SIZE,2
service :: XMJobService,2
receiver :: AppRegister,2
service :: FirebaseMessagingService,2
permission :: INSTALL_PACKAGES,2
permission :: MIPUSH_RECEIVE,2
permission :: CHANGE_WIFI_MULTICAST_STATE,2
receiver :: ReferrerReceiver,2
permission :: SET_DEBUG_APP,2
receiver :: InstallReferrerReceiver,2
receiver :: MessageReceiver,2
service :: DefaultTinkerResultService,2
receiver :: AgooCommondReceiver,2
permission :: PROCESS_OUTGOING_CALLS,2
permission :: WRITE_EXTERNAL_STORAGE,2
receiver :: InstallReceiver,2
permission :: RUN_INSTRUMENTATION,1
permission :: BATTERY_STATS,1
receiver :: PushManagerReceiver,1
permission :: SYSTEM_OVERLAY_WINDOW,1
receiver :: SystemReceiver,1
permission :: ACCESS_MTK_MMHW,1
receiver :: service.PayloadReceiver,1
service :: QhJobService,1
permission :: EXPAND_STATUS_BAR,1
service :: MyInstanceIDListenerService,1
receiver :: NetworkReceiver,1
receiver :: PushEventReceiver,1
service :: UpdateService,1
service :: UmengService,1
receiver :: JPushReceiver,1
permission :: BAIDU_LOCATION_SERVICE,1
service :: AdService,1
permission :: DELETE_PACKAGES,1
receiver :: ElectionReceiver,1
receiver :: BootCompletedReceiver,1
permission :: ACCESS_MOCK_LOCATION,1
service :: Stub02,1
service :: AuthenticatorService,1
receiver :: CheckUpdateReceiver,1
service :: CommandService,1
permission :: GET_ACCOUNTS,1
permission :: WAKE_LOCK,1
permission :: ACCESS_NETWORK_STATE,1
permission :: INTERNET,1
permission :: READ_CONTACTS,1
permission :: USE_CREDENTIALS,1
receiver :: AlarmReceiver,1
service :: AppMeasurementJobService,1
receiver :: BootReceiver,1
permission :: SET_WALLPAPER,1
receiver :: BillingReceiver,1
receiver :: ResponseReceiver,1
receiver :: GCMBroadcastReceiver,1
permission :: WRITE_CONTACTS,1
permission :: READ_HISTORY_BOOKMARKS,1
permission :: WRITE_HISTORY_BOOKMARKS,1
permission :: AUTHENTICATE_ACCOUNTS,1
receiver :: AppMeasurementInstallReferrerReceiver,1
permission :: NFC,1
permission :: SET_ALARM,1
permission :: READ_CALENDAR,1
permission :: PACKAGE_USAGE_STATS,1
permission :: ACTIVITY_RECOGNITION,1
receiver :: NotificationReceiver,1
permission :: SET_WALLPAPER_HINTS,1
permission :: WRITE_SYNC_SETTINGS,1
permission :: READ_SYNC_SETTINGS,1
receiver :: NetworkChangeReceiver,1
permission :: READ_CALL_LOG,1
