feature,mi_score
permission :: MOUNT_UNMOUNT_FILESYSTEMS,0.21975560879114386
permission :: READ_PHONE_STATE,0.17629727465175882
permission :: GET_TASKS,0.16981775217145256
permission :: CHANGE_WIFI_STATE,0.15094101490159173
permission :: SYSTEM_ALERT_WINDOW,0.13441466546276581
permission :: WRITE_SETTINGS,0.12295851792258583
permission :: ACCESS_WIFI_STATE,0.11190750523216808
permission :: CHANGE_NETWORK_STATE,0.11017195784681744
permission :: RECEIVE,0.10276172373588532
permission :: C2D_MESSAGE,0.1012942453252681
permission :: READ_LOGS,0.0975697656378407
permission :: RECEIVE_USER_PRESENT,0.07272388379888972
receiver :: AppMeasurementReceiver,0.06998794361863192
permission :: ACCESS_COARSE_LOCATION,0.05995396873141723
permission :: ACCESS_LOCATION_EXTRA_COMMANDS,0.05724416462909754
permission :: SEND_SMS,0.05433770245024916
service :: CampaignTrackingService,0.052539730820508224
permission :: INSTALL_SHORTCUT,0.05199252840938007
receiver :: service.PushReceiver,0.04910830186219939
permission :: READ_EXTERNAL_STORAGE,0.0484493712779297
permission :: WRITE_EXTERNAL_STORAGE,0.04668596947872472
permission :: READ_SETTINGS,0.04653666523169964
service :: DownloadService,0.045875211092358814
permission :: RESTART_PACKAGES,0.04526824112661432
permission :: JPUSH_MESSAGE,0.04400660479923868
permission :: UNINSTALL_SHORTCUT,0.040637066302741554
permission :: REQUEST_INSTALL_PACKAGES,0.040088438539802596
permission :: RECORD_AUDIO,0.03946720629222433
permission :: CHANGE_CONFIGURATION,0.03874386924250506
receiver :: CampaignTrackingReceiver,0.038091550624000936
service :: f,0.03794364667352412
receiver :: GcmBroadcastReceiver,0.03751218097185327
permission :: CALL_PHONE,0.036185606436223594
receiver :: FirebaseInstanceIdInternalReceiver,0.033192721785451074
permission :: ACCESS_FINE_LOCATION,0.033000019056958374
permission :: KILL_BACKGROUND_PROCESSES,0.032121665882885786
receiver :: GcmReceiver,0.031286507843578004
receiver :: AnalyticsReceiver,0.030714840658199627
permission :: CAMERA,0.029966277681676923
permission :: READ_GSERVICES,0.02866123694348932
service :: DownloadingService,0.028292647761326117
permission :: DISABLE_KEYGUARD,0.027462263879675985
service :: AnalyticsService,0.02654577262004043
service :: MessageHandleService,0.024021929716030233
receiver :: FirebaseInstanceIdReceiver,0.02397352086551585
permission :: DOWNLOAD_WITHOUT_NOTIFICATION,0.023268638763560334
permission :: RECEIVE_SMS,0.021843673093458582
permission :: MODIFY_AUDIO_SETTINGS,0.02096354142407475
permission :: BROADCAST_STICKY,0.020587175192296137
service :: XMJobService,0.020447010883064554
permission :: FLASHLIGHT,0.01995669373435316
permission :: MIPUSH_RECEIVE,0.019948002522215846
receiver :: service.receivers.PingReceiver,0.019929764059876565
receiver :: AgooCommondReceiver,0.019693889517217622
receiver :: CommonReceiver,0.019569432803104636
permission :: REORDER_TASKS,0.01899048817181126
permission :: INTERACT_ACROSS_USERS_FULL,0.018318779773437432
permission :: BROADCAST_PACKAGE_REPLACED,0.0181877845651206
receiver :: MultipleInstallBroadcastReceiver,0.017742604316810517
permission :: BLUETOOTH,0.017558721647195075
permission :: WRITE_APN_SETTINGS,0.017182211932939895
receiver :: MyReceiver,0.01697551256219243
service :: PushMessageHandler,0.016889829333204487
receiver :: MessageReceiver,0.016704231496338595
permission :: GET_PACKAGE_SIZE,0.016664638896427997
permission :: ACCESS_DOWNLOAD_MANAGER,0.016630053483759788
permission :: READ_SMS,0.01646431415227223
permission :: VIBRATE,0.016428979250342035
receiver :: RegistrationReceiver,0.0158716987573031
permission :: MANAGE_ACCOUNTS,0.015531700974849239
receiver :: NetworkReceiver,0.015505072502827177
service :: APSService,0.015174637310195527
service :: GCMIntentService,0.015112686532030128
receiver :: AppRegister,0.015103244805859006
permission :: CHANGE_WIFI_MULTICAST_STATE,0.015079323364245667
service :: DefaultTinkerResultService,0.014360353001451331
permission :: WRITE_SMS,0.014019153789717409
receiver :: PushEventReceiver,0.013743852695667025
service :: UpdateService,0.013702946277436956
receiver :: NotificationProxyBroadcastReceiver,0.013294565041988005
receiver :: JPushReceiver,0.013131077839020566
permission :: ACCESS_COARSE_UPDATES,0.01277409334262325
permission :: BAIDU_LOCATION_SERVICE,0.01245456800779765
permission :: RECEIVE_BOOT_COMPLETED,0.012423846260495752
receiver :: ReferrerReceiver,0.012261536040988563
service :: AdService,0.012237540866347985
permission :: MAPS_RECEIVE,0.012233434245955355
permission :: DELETE_PACKAGES,0.012178681153880433
permission :: INSTALL_PACKAGES,0.011844262451348175
permission :: BLUETOOTH_ADMIN,0.01160628737741387
service :: UmengMessageIntentReceiverService,0.011063736581004902
receiver :: ElectionReceiver,0.011049269004535178
receiver :: BootCompletedReceiver,0.010734761878683052
permission :: ACCESS_MOCK_LOCATION,0.010563104999965711
receiver :: DownloadReceiver,0.010289113630449709
service :: AuthenticatorService,0.009921327564015758
receiver :: CheckUpdateReceiver,0.009871876420884051
receiver :: InstallReceiver,0.009855938081336113
service :: CommandService,0.009560449263054549
permission :: SET_DEBUG_APP,0.009545887275078213
receiver :: service.PayloadReceiver,0.009521504720095386
service :: MyService,0.009476220942753466
service :: TinkerResultService,0.009385274443179936
permission :: USE_CREDENTIALS,0.00934482237343226
permission :: BATTERY_STATS,0.009161026621591128
service :: RevocationBoundService,0.009120159614343759
permission :: ACCESS_MTK_MMHW,0.008983618324435172
permission :: RUN_INSTRUMENTATION,0.008974171057480218
permission :: SEND_DOWNLOAD_COMPLETED_INTENTS,0.008739752694795433
service :: FirebaseMessagingService,0.008693611105996979
receiver :: PushReceiver,0.008656186288874768
permission :: RECEIVE_MMS,0.008655607915379893
service :: ContactsUploadService,0.008544362775576353
service :: LocationService,0.008465279878465237
receiver :: ParseBroadcastReceiver,0.008028764512518327
service :: XGRemoteService,0.008026898757217626
permission :: CLEAR_APP_CACHE,0.008014566216279384
service :: XiaomiIntentService,0.0078083242987256885
permission :: PROCESS_OUTGOING_CALLS,0.007513913187459087
permission :: WRITE_INTERNAL_STORAGE,0.007478944684211841
permission :: READ_CONTACTS,0.007450588387743373
service :: PushServiceUser,0.007288921900477696
receiver :: XGPushReceiver,0.006369068291050439
service :: FirebaseCrashReceiverService,0.006277090192069679
receiver :: PushManagerReceiver,0.006273158698018921
service :: QhJobService,0.006145834354545965
