feature,importance
permission :: READ_PHONE_STATE,0.09972702028508554
permission :: MOUNT_UNMOUNT_FILESYSTEMS,0.06639625046733304
permission :: GET_TASKS,0.05963298152531216
permission :: RECEIVE,0.05500251578022104
permission :: ACCESS_WIFI_STATE,0.05096099648565017
permission :: CHANGE_WIFI_STATE,0.048257408686901704
permission :: C2D_MESSAGE,0.04456874781564729
permission :: SYSTEM_ALERT_WINDOW,0.036239467363213346
permission :: WRITE_SETTINGS,0.035539778005972245
receiver :: AppMeasurementReceiver,0.022748769637322083
permission :: SEND_SMS,0.017565343669316627
permission :: ACCESS_COARSE_LOCATION,0.01696361409385328
permission :: GET_ACCOUNTS,0.015782205611807817
permission :: READ_EXTERNAL_STORAGE,0.015061041384894116
permission :: INSTALL_SHORTCUT,0.014061285274056628
permission :: READ_LOGS,0.013938608207372909
permission :: CHANGE_NETWORK_STATE,0.013838751062258759
permission :: WRITE_EXTERNAL_STORAGE,0.013201092300664609
permission :: WAKE_LOCK,0.012508420735479633
permission :: RECEIVE_USER_PRESENT,0.011990124332678624
permission :: ACCESS_FINE_LOCATION,0.010792852410360505
permission :: VIBRATE,0.01076608058098052
service :: CampaignTrackingService,0.010408856656823576
permission :: RECEIVE_BOOT_COMPLETED,0.01022571359602423
permission :: REQUEST_INSTALL_PACKAGES,0.009257403480189875
permission :: RESTART_PACKAGES,0.009128242536946598
permission :: ACCESS_NETWORK_STATE,0.00838536589131735
permission :: READ_GSERVICES,0.0077259161511061825
permission :: CAMERA,0.007635993334259339
receiver :: CampaignTrackingReceiver,0.0075825213023612585
service :: DownloadService,0.0068872303212268084
receiver :: GcmBroadcastReceiver,0.006300071451540217
permission :: RECORD_AUDIO,0.005506409090240696
permission :: JPUSH_MESSAGE,0.005501702669494191
receiver :: service.PushReceiver,0.005291937331606456
receiver :: MultipleInstallBroadcastReceiver,0.004906610498982489
permission :: INTERNET,0.004723086337805778
permission :: MODIFY_AUDIO_SETTINGS,0.004704967874925265
permission :: READ_CONTACTS,0.004511530233868154
permission :: USE_CREDENTIALS,0.004214780104288697
permission :: DISABLE_KEYGUARD,0.004091127194874078
service :: DownloadingService,0.004047909845919936
permission :: BLUETOOTH,0.0037493117343290272
permission :: READ_SETTINGS,0.0037274553004625283
permission :: ACCESS_LOCATION_EXTRA_COMMANDS,0.0036023085003760724
service :: RevocationBoundService,0.003546041288949229
receiver :: AlarmReceiver,0.003452142506097419
permission :: RECEIVE_SMS,0.0033834857491406834
