feature,chi2_score
SEND_SMS,3421.2259124292123
transact,2801.2283742952623
onServiceConnected,2617.5532631902615
android.os.Binder,2362.9726838606953
android.telephony.SmsManager,2319.2774658536955
Ljava.lang.Class.getCanonicalName,2198.6529025944205
Ljava.lang.Class.getMethods,2053.2110877037867
Ljava.lang.Class.cast,2008.3414748913542
RECEIVE_SMS,1842.3097000431762
android.content.pm.Signature,1837.3196114128118
Ljava.net.URLDecoder,1753.6471119927328
READ_SMS,1676.3672938119498
getBinder,1561.959853073818
GET_ACCOUNTS,1415.415711948644
Landroid.content.Context.unregisterReceiver,1319.7942431970312
Ljava.lang.Class.getField,1289.803208267887
Landroid.content.Context.registerReceiver,1179.5665714795496
ClassLoader,1168.7345126813118
Ljava.lang.Class.getDeclaredField,1062.6622259835758
TelephonyManager.getLine1Number,1058.2584277680362
getCallingUid,1046.963082930421
WRITE_SMS,953.7770766239971
DexClassLoader,933.5605675455453
READ_PHONE_STATE,925.2819950965588
Ljavax.crypto.spec.SecretKeySpec,903.2420163860086
MANAGE_ACCOUNTS,885.9807753109185
USE_CREDENTIALS,881.559183085891
android.telephony.gsm.SmsManager,834.5947891634679
android.intent.action.BOOT_COMPLETED,817.7551504033227
WRITE_HISTORY_BOOKMARKS,812.0872381416702
android.intent.action.SEND,783.6960263772312
INSTALL_PACKAGES,776.3324830449993
READ_HISTORY_BOOKMARKS,727.8018251315069
System.loadLibrary,721.8733687403322
KeySpec,712.0314982403231
TelephonyManager.getSubscriberId,688.4922806833499
READ_SYNC_SETTINGS,641.8569862832901
HttpGet.init,616.6267906205026
Ljavax.crypto.Cipher,594.3595802025604
CAMERA,582.7626839025476
AUTHENTICATE_ACCOUNTS,564.2908417219473
ACCESS_LOCATION_EXTRA_COMMANDS,554.0337495702773
WRITE_SYNC_SETTINGS,544.1659266798198
WRITE_APN_SETTINGS,537.8740986824597
Ljava.lang.Class.getMethod,530.8567187752357
createSubprocess,509.0935410810093
android.intent.action.PACKAGE_REPLACED,491.0617029058583
abortBroadcast,490.4043288730751
android.content.pm.PackageInfo,477.23483798508494
RECORD_AUDIO,455.53717360846997
Runtime.getRuntime,441.05939170429804
android.intent.action.SEND_MULTIPLE,414.1711568384304
URLClassLoader,375.24721029107474
MODIFY_AUDIO_SETTINGS,365.12016606018915
NFC,359.7033247568628
android.intent.action.TIME_SET,350.1252805331318
BROADCAST_STICKY,343.82726282792345
RESTART_PACKAGES,343.7570783639404
android.intent.action.PACKAGE_REMOVED,336.5776486581845
mount,329.82494866865505
BIND_REMOTEVIEWS,328.2819755170958
getCallingPid,323.29634123868783
READ_PROFILE,307.7643520472773
READ_SYNC_STATS,301.669081331003
chmod,286.0632865398343
Ljava.lang.Class.forName,285.4756694006173
android.intent.action.TIMEZONE_CHANGED,262.39370861862335
Ljava.lang.Class.getPackage,252.1311892642961
android.intent.action.PACKAGE_ADDED,243.75333539574302
TelephonyManager.getSimSerialNumber,238.99290095658762
RECEIVE_BOOT_COMPLETED,236.46598283842138
TelephonyManager.getDeviceId,224.1782426628361
Ljava.lang.Object.getClass,218.39380843966143
android.intent.action.ACTION_POWER_DISCONNECTED,212.590269651269
Ljava.lang.Class.getDeclaredClasses,212.590269651269
TelephonyManager.getCallState,200.1609517107704
PathClassLoader,199.21271305058585
BLUETOOTH,196.82196568158713
WAKE_LOCK,194.69194005057733
PackageInstaller,189.08373772138526
remount,186.91599990387587
READ_CALENDAR,185.64855428524038
sendDataMessage,178.45761086893194
READ_EXTERNAL_STORAGE,172.43926332818052
chown,170.88373578499557
Runtime.load,163.54789253897306
TelephonyManager.getSimCountryIso,162.8760951988085
READ_CALL_LOG,143.03714647530603
Binder,140.94906468316057
UPDATE_DEVICE_STATS,139.944681208249
SUBSCRIBED_FEEDS_WRITE,139.29615586795143
DELETE_PACKAGES,137.10345732409428
Ljava.lang.Class.getClasses,135.20018882084156
sendMultipartTextMessage,133.9167037854763
TelephonyManager.isNetworkRoaming,133.5758570726896
android.intent.action.ACTION_SHUTDOWN,131.37183552676404
WRITE_CALENDAR,126.80010444617008
VIBRATE,115.01518639620224
android.intent.action.NEW_OUTGOING_CALL,108.58867658559492
CHANGE_WIFI_MULTICAST_STATE,103.95539827412591
MASTER_CLEAR,99.26971446025988
GLOBAL_SEARCH,99.09221842802839
divideMessage,98.15580101895907
GET_TASKS,95.94461142005736
SET_WALLPAPER,94.72728477691584
android.intent.action.PACKAGE_DATA_CLEARED,93.79485014774166
android.intent.action.PACKAGE_CHANGED,86.41802955210333
PROCESS_OUTGOING_CALLS,85.46289778830143
BIND_WALLPAPER,83.34966916933713
RECEIVE_WAP_PUSH,80.84453921229212
INTERNET,80.07419589363481
REORDER_TASKS,79.78986950633384
BIND_INPUT_METHOD,72.3242958490677
HttpPost.init,71.90658263311917
BATTERY_STATS,64.81333109649951
android.intent.action.SENDTO,58.99193495318413
BLUETOOTH_ADMIN,58.67756111646331
Runtime.exec,55.839312253111544
REBOOT,55.45301661946481
WRITE_SETTINGS,54.349645947445175
ACCESS_COARSE_LOCATION,52.92904591084873
/system/bin,50.73918645438714
HttpUriRequest,50.314348899228236
SET_ALARM,49.36042582251531
BIND_DEVICE_ADMIN,47.42760634880018
ACCESS_NETWORK_STATE,46.709865297746916
KILL_BACKGROUND_PROCESSES,43.6269650594606
STATUS_BAR,39.705353648321605
/system/app,37.64220674564291
CHANGE_NETWORK_STATE,35.1875514384195
RECEIVE_MMS,35.14062163304561
TelephonyManager.getNetworkOperator,33.32440259865441
TelephonyManager.getSimOperator,31.44179744587683
READ_LOGS,25.002112458223035
CALL_PHONE,24.823762342818387
FLASHLIGHT,24.227981424684543
ProcessBuilder,23.773215122113967
defineClass,21.596368011932817
MOUNT_UNMOUNT_FILESYSTEMS,21.285481370141802
