feature,votes
SEND_SMS,3
transact,3
onServiceConnected,3
android.os.Binder,3
android.telephony.SmsManager,3
Ljava.lang.Class.getCanonicalName,3
Ljava.lang.Class.cast,3
Ljava.net.URLDecoder,3
RECEIVE_SMS,3
Landroid.content.Context.unregisterReceiver,3
READ_SMS,3
ClassLoader,3
Ljava.lang.Class.getField,3
Landroid.content.Context.registerReceiver,3
Ljava.lang.Class.getMethods,2
android.content.pm.Signature,2
getBinder,2
GET_ACCOUNTS,2
Ljava.lang.Class.getDeclaredField,2
TelephonyManager.getLine1Number,2
getCallingUid,2
READ_PHONE_STATE,2
TelephonyManager.getDeviceId,1
INTERNET,1
android.intent.action.BOOT_COMPLETED,1
android.content.pm.PackageInfo,1
chmod,1
