feature,chi2_score
SEND_SMS,11971.024640275715
READ_PHONE_STATE,11179.601221905341
NrServices,8577.97738856182
RECEIVE_BOOT_COMPLETED,8423.199826089818
RECEIVE_SMS,8417.42166389474
ACCESS_WIFI_STATE,8061.298358474729
NrIntReceiversActions,7417.244876992408
READ_SMS,6940.359936227935
SYSTEM_ALERT_WINDOW,6201.329358891378
GET_ACCOUNTS,5960.553921108938
WAKE_LOCK,5577.272355771473
GET_TASKS,5387.5650580873535
fsync,4910.497799074241
WRITE_EXTERNAL_STORAGE,4586.309191936023
renameat,3759.923442197648
BIND_DEVICE_ADMIN,3451.1027709746904
wait4,3255.4923449684857
ACCESS_COARSE_LOCATION,3149.1202283900575
flock,3142.204435017843
CHANGE_WIFI_STATE,2875.8428867686325
ACCESS_FINE_LOCATION,2607.307763292804
CALL_PHONE,2392.5396991615025
CHANGE_NETWORK_STATE,2037.7571154038933
ACCESS_NETWORK_STATE,1974.4161131307778
NrIntServices,1938.5356696435924
RESTART_PACKAGES,1868.0270999582356
WRITE_SETTINGS,1829.0245352143409
VIBRATE,1680.041584001604
KILL_BACKGROUND_PROCESSES,1571.2416463345867
MOUNT_UNMOUNT_FILESYSTEMS,1564.104756552954
unlinkat,1492.3420970093143
READ_LOGS,1471.8966393771207
BROADCAST_SMS,1185.6551930284277
PROCESS_OUTGOING_CALLS,1170.2962728240805
READ_CONTACTS,1126.2098961231984
epoll_create1,942.465522696247
READ_CALL_LOG,809.789264329969
DISABLE_KEYGUARD,803.2443815327449
READ_EXTERNAL_STORAGE,784.3368885831766
RECEIVE_WAP_PUSH,715.0036862071361
CHANGE_CONFIGURATION,712.5983221190081
FOREGROUND_SERVICE,707.5302926461495
BIND_WALLPAPER,684.9757815639163
BROADCAST_WAP_PUSH,644.6195688898204
sched_yield,602.8501562081341
DELETE_PACKAGES,597.9078946254942
connect,594.9862853705504
geteuid32,576.0092883047644
INSTALL_PACKAGES,555.8271476968054
recvfrom,550.1080009886963
WRITE_APN_SETTINGS,548.7589209084084
ACCESS_LOCATION_EXTRA_COMMANDS,493.8287497590825
getsockname,460.2134643432765
socket,458.3159843939835
getsockopt,439.7210157616683
_llseek,422.8963546052908
INTERNET,421.56195439670387
fchmodat,418.81821247759393
ugetrlimit,394.5620680505314
fstatat64,383.6536976936222
getdents64,351.3365088680198
epoll_ctl,298.4423003506233
MODIFY_PHONE_STATE,250.36067528565118
sendto,243.12139531022817
mkdirat,238.86273266182806
statfs64,188.54222211972035
sendmsg,179.4067120462287
readlinkat,171.39132245161903
getpid,168.747441835192
fcntl64,168.09735300845497
RECORD_AUDIO,165.4425712761883
socketpair,135.35254167458442
getpriority,132.50376041915203
WRITE_CONTACTS,118.14570960421312
writev,108.99818401946538
BLUETOOTH,108.69161551157922
rt_sigprocmask,87.75477603935177
vfork,87.7003567208045
WRITE_SYNC_SETTINGS,69.35849740323187
setpriority,64.18083876201828
lseek,61.96553961464342
clock_gettime,55.00332544830765
setsockopt,53.408911683955566
READ_CALENDAR,50.40392337855639
MODIFY_AUDIO_SETTINGS,39.13685877665651
munmap,35.19168824718379
BROADCAST_STICKY,34.41167293534342
CAMERA,33.65379176576413
write,32.84405992136364
shutdown,32.142636060942465
pread64,31.0576353090769
WRITE_CALENDAR,28.885858090315914
BLUETOOTH_ADMIN,28.193366566881384
SET_WALLPAPER,22.49246504856353
dup3,20.246411531693845
faccessat,16.280889732464527
eventfd2,15.918608194261376
fchmod,15.720423992687287
read,13.531237240436642
NrIntActivities,10.735438878616382
epoll_pwait,10.700077491482537
mmap2,7.420704034104984
clone,7.32969460313061
mprotect,7.2725861732780395
close,6.429333656611005
futex,5.888028707291972
prctl,4.335472551788525
openat,4.064341452756355
getuid32,3.3188390876259097
pipe2,2.6039186076558805
fstat64,2.5812054248823006
rt_sigreturn,2.3102404936857015
getrandom,2.055095016065489
fdatasync,1.082302679993466
ppoll,1.070724172740891
