feature,votes
SEND_SMS,3
READ_PHONE_STATE,3
NrServices,3
RECEIVE_BOOT_COMPLETED,3
RECEIVE_SMS,3
ACCESS_WIFI_STATE,3
NrIntReceiversActions,3
READ_SMS,3
SYSTEM_ALERT_WINDOW,3
GET_ACCOUNTS,3
WAKE_LOCK,3
GET_TASKS,3
fsync,3
WRITE_EXTERNAL_STORAGE,3
renameat,3
ACCESS_COARSE_LOCATION,3
ACCESS_FINE_LOCATION,3
ACCESS_NETWORK_STATE,3
wait4,2
flock,2
CALL_PHONE,2
BIND_DEVICE_ADMIN,2
INTERNET,2
NrIntServices,2
recvfrom,2
CHANGE_WIFI_STATE,1
RESTART_PACKAGES,1
CHANGE_NETWORK_STATE,1
WRITE_SETTINGS,1
fcntl64,1
unlinkat,1
writev,1
epoll_create1,1
READ_EXTERNAL_STORAGE,1
VIBRATE,1
readlinkat,1
READ_CONTACTS,1
geteuid32,1
