feature,mi_score
READ_PHONE_STATE,0.21770134355859838
NrServices,0.1548660833210258
NrIntReceiversActions,0.14071645668850752
SEND_SMS,0.13239456801707883
RECEIVE_BOOT_COMPLETED,0.1019101562360285
ACCESS_WIFI_STATE,0.09738861682290434
WRITE_EXTERNAL_STORAGE,0.08583779449849471
RECEIVE_SMS,0.0851488727354226
READ_SMS,0.06903535483612844
WAKE_LOCK,0.06317139760479207
fsync,0.06289030800364825
SYSTEM_ALERT_WINDOW,0.0597944348666104
GET_ACCOUNTS,0.05857393647589548
GET_TASKS,0.05428987274633679
ACCESS_NETWORK_STATE,0.048141969586230404
recvfrom,0.04470558873854724
INTERNET,0.03992381688071012
ACCESS_COARSE_LOCATION,0.0379511562367576
renameat,0.03742917620893005
ACCESS_FINE_LOCATION,0.03352018619735686
fcntl64,0.03317795831623993
BIND_DEVICE_ADMIN,0.03240188393561194
wait4,0.03237055638635877
unlinkat,0.03011788050505837
writev,0.02891829760058462
flock,0.02691238085136649
CALL_PHONE,0.026853709958014838
CHANGE_WIFI_STATE,0.026010459427369348
epoll_ctl,0.023956080964812276
fstatat64,0.020088894730308837
CHANGE_NETWORK_STATE,0.01965236530470671
getdents64,0.01914920829200839
RESTART_PACKAGES,0.019101525648383966
WRITE_SETTINGS,0.01766470011616783
MOUNT_UNMOUNT_FILESYSTEMS,0.01673426477258433
fchmodat,0.016240078201048336
NrIntServices,0.016209614816521833
getsockopt,0.01597551106487627
ugetrlimit,0.015929917598076715
NrIntActivities,0.015391614346631943
VIBRATE,0.015234812299567801
munmap,0.015178651837894241
KILL_BACKGROUND_PROCESSES,0.014754764451448743
rt_sigprocmask,0.014504840135486363
pread64,0.014398539180678016
write,0.013735595965678637
READ_LOGS,0.012909515960135565
futex,0.012849973768952916
close,0.012690103151149712
epoll_create1,0.01225220741250288
_llseek,0.011744742234186312
mkdirat,0.011652274938915186
getuid32,0.011327323020443147
readlinkat,0.010814291120338604
mmap2,0.010506695720619907
sched_yield,0.010245080792845362
READ_EXTERNAL_STORAGE,0.010061622217641508
read,0.009673429487189189
READ_CALL_LOG,0.009673233384254853
PROCESS_OUTGOING_CALLS,0.009329841221354496
epoll_pwait,0.009281740764553126
prctl,0.00905257729923381
fstat64,0.008994726781189177
DISABLE_KEYGUARD,0.008841041884656509
lseek,0.008680840266739764
BROADCAST_SMS,0.00810271889682146
FOREGROUND_SERVICE,0.008083756580621992
READ_CONTACTS,0.007983379565497328
DELETE_PACKAGES,0.007925938752993078
openat,0.007716393499912488
connect,0.007638771075746398
mprotect,0.007536575935677581
BIND_WALLPAPER,0.0073690187284527475
faccessat,0.007186882267611994
clone,0.007022385135354581
RECEIVE_WAP_PUSH,0.006631494329818466
socket,0.0059804265407126245
eventfd2,0.005740248325643238
clock_gettime,0.004928795994716628
geteuid32,0.004682811164258283
CHANGE_CONFIGURATION,0.004500362913156142
INSTALL_PACKAGES,0.00424159706758509
getpid,0.0040937250870385355
socketpair,0.004038259064068406
SET_WALLPAPER,0.0036156329883836325
fchmod,0.0035929052405183626
getrandom,0.003459924981001894
WRITE_APN_SETTINGS,0.003299104870068348
sendto,0.0031625752417179243
WRITE_SYNC_SETTINGS,0.00314553179230348
BROADCAST_WAP_PUSH,0.0027567623085487103
dup3,0.002597461441962823
pipe2,0.002399140319413684
ACCESS_LOCATION_EXTRA_COMMANDS,0.0022323428368677956
READ_CALENDAR,0.0017256812054944337
CAMERA,0.0016330208464743201
fdatasync,0.001627692607623965
MODIFY_PHONE_STATE,0.0016246216877857655
vfork,0.0013779002245482008
RECORD_AUDIO,0.0012228879221400923
BLUETOOTH,0.0011094345605504596
getpriority,0.0008007926229769424
setpriority,0.0007569022747446752
BROADCAST_STICKY,0.00031441625601402734
MODIFY_AUDIO_SETTINGS,0.00028016935655372777
WRITE_CONTACTS,9.129916829375695e-05
statfs64,0.0
setsockopt,0.0
sendmsg,0.0
getsockname,0.0
shutdown,0.0
BLUETOOTH_ADMIN,0.0
ppoll,0.0
rt_sigreturn,0.0
WRITE_CALENDAR,0.0
