feature,importance
READ_PHONE_STATE,0.11719609081908904
SEND_SMS,0.08003870562216096
NrServices,0.07443754703375709
ACCESS_WIFI_STATE,0.053984283488251406
NrIntReceiversActions,0.05348963333571678
RECEIVE_BOOT_COMPLETED,0.0337560149540998
RECEIVE_SMS,0.033324310847008286
WRITE_EXTERNAL_STORAGE,0.030724186107254903
SYSTEM_ALERT_WINDOW,0.02316444868658949
GET_TASKS,0.022230271930665724
fsync,0.022125139857443344
epoll_create1,0.02146704803860961
READ_SMS,0.021414389491872732
ACCESS_COARSE_LOCATION,0.019280118217799416
GET_ACCOUNTS,0.017122660034690013
ACCESS_NETWORK_STATE,0.01706103529010953
WAKE_LOCK,0.014606127070328297
ACCESS_FINE_LOCATION,0.013474944396149153
recvfrom,0.0123676678893482
INTERNET,0.010461491062694775
renameat,0.009211864643692622
READ_EXTERNAL_STORAGE,0.009157500635345692
VIBRATE,0.009154899054533913
readlinkat,0.008806357325542432
NrIntServices,0.008600129098707096
READ_CONTACTS,0.0072469581472793775
geteuid32,0.006968133236608035
NrIntActivities,0.006960245698063755
CALL_PHONE,0.00682395145981084
getrandom,0.006586463458509639
BIND_DEVICE_ADMIN,0.0063244749557152735
FOREGROUND_SERVICE,0.006184636771265266
clock_gettime,0.005998797809026496
flock,0.005992827540498137
wait4,0.005987658863587205
fchmodat,0.005838659542043903
_llseek,0.005746165987413913
INSTALL_PACKAGES,0.0057347183514356494
ugetrlimit,0.005726639030780984
unlinkat,0.005720993104652985
sched_yield,0.0055755834371143
getpriority,0.005497084070397785
CHANGE_WIFI_STATE,0.0054759109549609546
eventfd2,0.005328812052387395
fdatasync,0.0052608556015931816
sendmsg,0.005235830911801291
sendto,0.005209976033084127
fstatat64,0.00518289402194953
getsockopt,0.005128676494541901
MOUNT_UNMOUNT_FILESYSTEMS,0.005093160977731166
READ_LOGS,0.004933373817508318
socketpair,0.0048955759141601505
epoll_ctl,0.004686542564961895
mkdirat,0.004558685072452669
lseek,0.004379851910972282
CAMERA,0.004225254646198468
statfs64,0.004196705551872057
SET_WALLPAPER,0.004159943745105459
getdents64,0.00412592024860306
fchmod,0.003581612880358633
WRITE_SETTINGS,0.0035584159616738787
RESTART_PACKAGES,0.0033893653253614024
BIND_WALLPAPER,0.002989385710577991
faccessat,0.002849206187250968
KILL_BACKGROUND_PROCESSES,0.0027662128987581904
RECORD_AUDIO,0.002593164120973553
fcntl64,0.0025379146612050023
rt_sigprocmask,0.0025333736364829234
WRITE_CONTACTS,0.002356424820775229
socket,0.0022126899052670496
ACCESS_LOCATION_EXTRA_COMMANDS,0.0022052048850691895
BLUETOOTH,0.0019501543048786884
connect,0.0019126122504009274
MODIFY_AUDIO_SETTINGS,0.0018916188368939119
CHANGE_NETWORK_STATE,0.0018756244407997958
WRITE_SYNC_SETTINGS,0.0017181617110767298
setsockopt,0.0016426656604157882
getsockname,0.0014830928300432603
write,0.0014433064461355175
DISABLE_KEYGUARD,0.0013950264468709419
setpriority,0.001393604414591125
RECEIVE_WAP_PUSH,0.001392903279529764
CHANGE_CONFIGURATION,0.001240535628545686
BLUETOOTH_ADMIN,0.0012160719246965652
DELETE_PACKAGES,0.0011409220025281638
READ_CALENDAR,0.0011247562370112478
pipe2,0.0011039197891402
shutdown,0.0011009318117691867
epoll_pwait,0.0010729351226761955
BROADCAST_SMS,0.0010545749624018628
PROCESS_OUTGOING_CALLS,0.001026131314473563
getpid,0.0008785080745607323
writev,0.0008768887141487881
pread64,0.0008665543850200339
read,0.0008562278270001297
ppoll,0.0008477381148294962
MODIFY_PHONE_STATE,0.0007941646484665088
vfork,0.0007543981513650566
BROADCAST_STICKY,0.0007503975218200104
rt_sigreturn,0.0007230000826583385
WRITE_CALENDAR,0.0006834035579946938
WRITE_APN_SETTINGS,0.0006780424445724103
munmap,0.0006733237060839653
dup3,0.0006641225616502821
fstat64,0.0006618765483732635
openat,0.0005944662529354939
clone,0.0005849563397431337
READ_CALL_LOG,0.0004758857643697467
BROADCAST_WAP_PUSH,0.00044713120932385396
futex,0.0004065903486363034
prctl,0.00039124756492103514
mprotect,0.00031450970074589304
getuid32,0.00024711586020216184
close,0.00024096061239615993
mmap2,0.00018714268400160195
