feature,chi2_score
SEND_SMS,13979.049848235592
READ_PHONE_STATE,13044.801461703857
getpriority,12542.346826893016
ACCESS_WIFI_STATE,12524.494810140455
RECEIVE_SMS,11372.211179826509
setsockopt,10928.600556537505
RECEIVE_BOOT_COMPLETED,10577.77102403299
READ_SMS,10573.307581392553
NrServices,10051.93284712634
GET_TASKS,9837.209163133277
getrlimit,9193.075655715602
NrIntReceiversActions,9131.766923712785
CHANGE_WIFI_STATE,8366.376284447244
fsync,8274.062370577512
SYSTEM_ALERT_WINDOW,8081.308026768653
GET_ACCOUNTS,7931.488442935623
flock,7634.1313520514705
recv,7474.921175119098
SYS_312,7262.991113441512
SYS_339,7188.506518961705
WAKE_LOCK,7181.97088592492
MOUNT_UNMOUNT_FILESYSTEMS,7099.476556895348
CHANGE_NETWORK_STATE,6897.3856038720605
sigaltstack,6871.140613217302
ACCESS_COARSE_LOCATION,6399.095835683385
WRITE_EXTERNAL_STORAGE,6317.793465449131
ACCESS_FINE_LOCATION,5637.57679985448
fstatfs64,5507.039827214343
WRITE_SETTINGS,5470.66499926725
CHANGE_CONFIGURATION,5300.775519823879
BROADCAST_SMS,4862.757928000728
SYS_311,4740.481242245686
RECEIVE_MMS,4584.594023915496
NrIntServices,4572.129349943551
ACCESS_LOCATION_EXTRA_COMMANDS,4530.61399970892
CALL_PHONE,4449.315401127575
SYS_315,4339.541667864627
WRITE_APN_SETTINGS,4338.060053099844
READ_EXTERNAL_STORAGE,4248.058519405209
VIBRATE,4051.4960029318763
DISABLE_KEYGUARD,3933.2007283452035
RECEIVE_WAP_PUSH,3904.5135376879352
BROADCAST_STICKY,3897.6113190657406
sendmsg,3476.538711960331
sched_yield,3333.4264398606856
WRITE_SECURE_SETTINGS,3321.0828919938
fdatasync,3277.1814882080407
RESTART_PACKAGES,3188.0633051579352
ACCESS_NETWORK_STATE,3181.430729725933
SYS_340,3038.115418325806
socket,2954.0212024262764
getpid,2698.0056276706064
_llseek,2654.9590159571558
SYS_316,2620.7838247580885
vfork,2567.204319445894
READ_LOGS,2501.0208647356103
BIND_DEVICE_ADMIN,2377.904587816335
fchmod,2240.788393634165
connect,2179.245152520875
SYS_342,2176.1269696870445
KILL_BACKGROUND_PROCESSES,1621.3333368380795
getdents64,1607.2749354425227
rt_sigreturn,1516.6367350200958
SYS_359,1409.161036286378
READ_CALL_LOG,1205.9720703534895
SYS_317,1125.5336983280101
kill,1121.6313918068522
BROADCAST_WAP_PUSH,1097.6173239935956
dup,1070.9494138746322
FOREGROUND_SERVICE,1054.5593564993558
statfs64,1051.369977840327
PROCESS_OUTGOING_CALLS,1010.9152967219258
SEND_RESPOND_VIA_MESSAGE,995.4038845415639
SYS_306,953.3633785157504
lseek,922.1891867306833
READ_CONTACTS,920.0400041727255
getsockopt,910.0088382755706
tgkill,851.5168028885463
SYS_310,843.2475411793246
epoll_ctl,720.6018710092403
SYS_331,653.3429656041353
sysinfo,628.8488941044059
BIND_WALLPAPER,618.5782903942182
SYS_329,604.7995830809535
CLEAR_APP_CACHE,576.9235136044213
CAMERA,571.3640311063102
INTERNET,552.5225266035677
GET_PACKAGE_SIZE,536.0963321858934
pwrite,436.9694498915693
INSTALL_PACKAGES,425.6501910589211
getsockname,400.00118538847113
MODIFY_PHONE_STATE,344.81109595744255
EXPAND_STATUS_BAR,330.2072638382511
pread,330.06502494138095
sigaction,312.3150969993734
BATTERY_STATS,301.41689587610944
munmap,255.38642053234537
geteuid32,239.97289898332662
BLUETOOTH,224.04310375623936
rt_sigprocmask,216.14026781548807
RECORD_AUDIO,208.4711430895612
MODIFY_AUDIO_SETTINGS,201.6133213873465
BLUETOOTH_ADMIN,186.20995585570518
recvfrom,169.7651403557436
clone,150.0481227776126
gettid,148.38155340909637
mprotect,118.74307586540323
fcntl64,112.53441363083962
prctl,106.17693785634435
fstat64,98.25460391506431
futex,90.25841935860049
close,89.04519150803922
mmap2,76.05209211619808
WRITE_CONTACTS,74.99346427144174
SYS_319,66.72262251491327
gettimeofday,62.397109484512654
READ_SYNC_SETTINGS,19.100796387442657
WRITE_SYNC_SETTINGS,15.7662477759384
READ_CALENDAR,15.212920730759937
write,9.470404459448698
read,7.3377913537836665
setpriority,6.744572259600485
NrIntActivities,4.429091934289193
SET_WALLPAPER,3.940621126222911
WRITE_CALENDAR,2.3908697248942046
writev,1.363683857848128
ioctl,0.5032135247841678
getuid32,0.04955917331212832
