feature,mi_score
READ_PHONE_STATE,0.2486324312165833
NrServices,0.16753485351323727
NrIntReceiversActions,0.15989257110642496
ACCESS_WIFI_STATE,0.1544807398155874
SEND_SMS,0.1448443437614566
getpriority,0.12928633132639078
RECEIVE_BOOT_COMPLETED,0.11527521928425721
WRITE_EXTERNAL_STORAGE,0.11489771142534755
RECEIVE_SMS,0.11194543391785983
getrlimit,0.10491275205406936
setsockopt,0.10411599168905439
READ_SMS,0.09992725612242626
GET_TASKS,0.09592791733995898
fsync,0.0918515045900723
fstatfs64,0.07965264690449647
WAKE_LOCK,0.07805815127879545
ACCESS_COARSE_LOCATION,0.07761300736095977
CHANGE_WIFI_STATE,0.07638471527906132
SYS_339,0.07557556943219312
ACCESS_NETWORK_STATE,0.07530556854988602
SYS_315,0.07426909314201047
GET_ACCOUNTS,0.07376349767058854
SYSTEM_ALERT_WINDOW,0.0736019636842995
flock,0.07012335630714284
SYS_312,0.06826834308728591
recv,0.06799709546255084
SYS_311,0.06579514641866013
ACCESS_FINE_LOCATION,0.06506606892181366
CHANGE_NETWORK_STATE,0.06391838569679686
MOUNT_UNMOUNT_FILESYSTEMS,0.0624616508563256
sigaltstack,0.057440139144811386
WRITE_SETTINGS,0.04712677759560968
BROADCAST_SMS,0.04596273896970127
CHANGE_CONFIGURATION,0.0454105017358315
INTERNET,0.04508581989734006
SYS_316,0.045015837403862724
RECEIVE_MMS,0.04325201137892121
VIBRATE,0.04280542590694547
NrIntServices,0.042742037810642675
CALL_PHONE,0.040725380564732294
READ_EXTERNAL_STORAGE,0.039344459919360864
SYS_317,0.0391427240135207
ACCESS_LOCATION_EXTRA_COMMANDS,0.03743626154780455
WRITE_APN_SETTINGS,0.03698370206306678
dup,0.0360784210659153
RECEIVE_WAP_PUSH,0.0357752337048729
getdents64,0.03466194512205334
BROADCAST_STICKY,0.034109573648315905
SYS_329,0.03324428739245455
DISABLE_KEYGUARD,0.031823101229572215
WRITE_SECURE_SETTINGS,0.0302513976239267
fdatasync,0.03024131466116864
sendmsg,0.02999845842633797
SYS_340,0.029694295268283932
sched_yield,0.028281565214999693
_llseek,0.02747019616661661
SYS_310,0.02513682771207071
RESTART_PACKAGES,0.02511160005485058
socket,0.024658265273749702
pread,0.023323217650953243
getsockopt,0.023263407224627386
lseek,0.022170664017511443
getpid,0.020249228045476242
epoll_ctl,0.02014225513624046
vfork,0.019445066484153672
BIND_DEVICE_ADMIN,0.01921340997440346
SYS_306,0.01896921425782616
SYS_342,0.018340635508051095
munmap,0.018320931602449075
connect,0.018269628769574275
futex,0.018173715696679915
fchmod,0.018167838757632726
clone,0.017199915542836397
mprotect,0.01569719659966551
READ_LOGS,0.015552894467197875
rt_sigprocmask,0.015543086186602384
mmap2,0.01482219333106305
fstat64,0.014477619219558147
rt_sigreturn,0.013935632746307158
prctl,0.013575940311042478
close,0.01296636935070028
KILL_BACKGROUND_PROCESSES,0.012785129474159662
read,0.012634997711990614
recvfrom,0.012415644884960164
fcntl64,0.01203082001420297
writev,0.011596886942805584
READ_CONTACTS,0.01134134866574743
kill,0.010904186722173748
NrIntActivities,0.01075554950697799
gettimeofday,0.01013648594349803
SYS_359,0.009772707363221222
sysinfo,0.00932021834314889
BROADCAST_WAP_PUSH,0.009288278972878539
SEND_RESPOND_VIA_MESSAGE,0.008908272330247158
READ_CALL_LOG,0.008645552083590413
PROCESS_OUTGOING_CALLS,0.008303601471271627
statfs64,0.008275324490266467
ioctl,0.008204153893918376
FOREGROUND_SERVICE,0.007628434269592699
getuid32,0.006580294576466139
sigaction,0.0061419855157565095
write,0.005635028959632082
CLEAR_APP_CACHE,0.005542729756604414
gettid,0.00501914915842927
SYS_331,0.004779347296755221
BATTERY_STATS,0.00447291408733097
GET_PACKAGE_SIZE,0.004222947888991246
tgkill,0.004163424595890364
MODIFY_AUDIO_SETTINGS,0.004045789192877125
pwrite,0.003616003244392374
CAMERA,0.0032334544599124104
geteuid32,0.003202172478584453
EXPAND_STATUS_BAR,0.0029304363843416503
INSTALL_PACKAGES,0.0028273027742418133
BIND_WALLPAPER,0.002470663079095381
RECORD_AUDIO,0.0014269572247813667
BLUETOOTH_ADMIN,0.0011820135551716682
READ_CALENDAR,0.0009606772954473541
BLUETOOTH,0.0006309205014831676
getsockname,0.0005050834266240312
WRITE_CONTACTS,0.0004301171716856178
MODIFY_PHONE_STATE,0.0003856198388765275
setpriority,0.00021914191467997668
SYS_319,0.0
READ_SYNC_SETTINGS,0.0
SET_WALLPAPER,0.0
WRITE_CALENDAR,0.0
WRITE_SYNC_SETTINGS,0.0
