feature,importance
READ_PHONE_STATE,0.10863276622939429
ACCESS_WIFI_STATE,0.059068939233600445
NrServices,0.056777069190591126
SEND_SMS,0.05461490467863293
NrIntReceiversActions,0.04317045361536119
RECEIVE_BOOT_COMPLETED,0.03798928098113225
WRITE_EXTERNAL_STORAGE,0.03573052583724022
setsockopt,0.03316229446695672
getpriority,0.03278033307509032
RECEIVE_SMS,0.03034371041668481
GET_TASKS,0.027338622988684835
getrlimit,0.025092182378748707
READ_SMS,0.023881459459404168
SYSTEM_ALERT_WINDOW,0.021769945659456048
ACCESS_NETWORK_STATE,0.018378899893276526
WAKE_LOCK,0.018243823204915965
SYS_339,0.017983594630059156
fstatfs64,0.015112695786126088
ACCESS_COARSE_LOCATION,0.014437473275011837
recv,0.011355082198398245
CHANGE_WIFI_STATE,0.011015981666111127
sigaltstack,0.0101036193936602
MOUNT_UNMOUNT_FILESYSTEMS,0.009717893529945678
SYS_315,0.008981056496956926
fsync,0.008831850648952628
sysinfo,0.008689292282753124
flock,0.008643402415941245
SYS_312,0.007973729597814245
READ_EXTERNAL_STORAGE,0.0073898319686265
ACCESS_FINE_LOCATION,0.007237018272877544
SYS_311,0.006915555745265801
READ_CONTACTS,0.0067378863682468594
VIBRATE,0.006351159698187432
lseek,0.006238490642695421
INTERNET,0.0062024317276248315
NrIntServices,0.005930338183311957
SYS_340,0.00586201285863684
recvfrom,0.005766935480119688
NrIntActivities,0.005414486710673533
SYS_306,0.005200763940359648
CALL_PHONE,0.005118583086424164
FOREGROUND_SERVICE,0.0048945736596687104
epoll_ctl,0.004800068024892514
GET_ACCOUNTS,0.004778550156602999
CHANGE_NETWORK_STATE,0.004578515788678699
sigaction,0.004573880462585458
SYS_310,0.004383432381185425
getdents64,0.004339313161605756
_llseek,0.004278905082764566
SYS_316,0.003957122797249957
READ_LOGS,0.0038220958813372074
rt_sigprocmask,0.003820838344341946
INSTALL_PACKAGES,0.0038099941527952427
getsockopt,0.00379468730005153
dup,0.003564953015419899
sched_yield,0.003518145100799756
geteuid32,0.0035028831929429546
CAMERA,0.003011440396585961
BIND_DEVICE_ADMIN,0.002986141831641359
SYS_329,0.0027440342159224954
write,0.0027056171917602748
sendmsg,0.002679102744861007
RESTART_PACKAGES,0.002657478523261198
socket,0.0026278507990685454
WRITE_SETTINGS,0.0026027683198899276
SYS_317,0.0025783482716032606
fdatasync,0.0024683665225596627
KILL_BACKGROUND_PROCESSES,0.0023896801174519964
pwrite,0.0023883569230074802
SET_WALLPAPER,0.0022488460334095196
ACCESS_LOCATION_EXTRA_COMMANDS,0.002188713094633988
CHANGE_CONFIGURATION,0.00210451610122583
pread,0.002071822879448384
gettimeofday,0.0020444980815530205
connect,0.0019621870809753655
WRITE_CONTACTS,0.0019091513250148297
writev,0.0018096664905070839
RECORD_AUDIO,0.0017960673722660272
fcntl64,0.0017762172828794472
munmap,0.0016812343766675075
BLUETOOTH,0.0016577550457113214
BROADCAST_SMS,0.001643746395960423
fchmod,0.0015952573545871256
RECEIVE_MMS,0.0015911576844441966
read,0.0015394949489508022
statfs64,0.0015137449612635198
DISABLE_KEYGUARD,0.001489245116432086
BIND_WALLPAPER,0.0014031571841446146
MODIFY_AUDIO_SETTINGS,0.0013158472485919825
kill,0.0012620835852909492
RECEIVE_WAP_PUSH,0.0011594268133323766
READ_SYNC_SETTINGS,0.001110305802012038
getsockname,0.0010711139371943985
prctl,0.001051504324766607
getpid,0.0010259800720689096
SYS_342,0.0009945220987313968
BLUETOOTH_ADMIN,0.0009917075464223146
rt_sigreturn,0.000983976969005099
WRITE_SYNC_SETTINGS,0.000963468145656419
PROCESS_OUTGOING_CALLS,0.0009578243939058371
gettid,0.0009108725761573739
BROADCAST_STICKY,0.0008934066240117143
setpriority,0.0008520530636573544
SYS_319,0.0008484038177112893
futex,0.0008286064713128808
clone,0.0007850845300640517
READ_CALENDAR,0.0007720083625255764
WRITE_APN_SETTINGS,0.0007278181721854365
CLEAR_APP_CACHE,0.0006382472295627911
MODIFY_PHONE_STATE,0.0006054468631300114
BATTERY_STATS,0.0006029843188753097
mprotect,0.0005851407090462947
vfork,0.0005786783135641472
WRITE_CALENDAR,0.0005733937981310422
fstat64,0.0005621738965353613
mmap2,0.0004341945481818961
READ_CALL_LOG,0.0004134166532345452
close,0.00039137489441070446
GET_PACKAGE_SIZE,0.0003847048639604376
BROADCAST_WAP_PUSH,0.0003200709776215583
ioctl,0.00031175616811285296
EXPAND_STATUS_BAR,0.00029650091020341806
getuid32,0.00027795148589250155
WRITE_SECURE_SETTINGS,0.0002759026209441361
tgkill,0.00025834933778176534
SYS_359,0.0002545872669797846
SEND_RESPOND_VIA_MESSAGE,0.00021155765661230117
SYS_331,4.755184805308671e-05
